sample_id,image_path,true_label,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top1_correct,top5_correct,score_margin
mock_c000_s00,images/class_0/sample_0.png,0,0,1,2,3,4,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c000_s01,images/class_0/sample_1.png,0,0,1,2,3,4,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c001_s00,images/class_1/sample_0.png,1,1,0,2,3,4,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c001_s01,images/class_1/sample_1.png,1,1,0,2,3,4,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c002_s00,images/class_2/sample_0.png,2,2,3,4,5,0,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c002_s01,images/class_2/sample_1.png,2,2,3,4,5,0,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c003_s00,images/class_3/sample_0.png,3,3,2,4,5,0,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c003_s01,images/class_3/sample_1.png,3,3,2,4,5,0,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c004_s00,images/class_4/sample_0.png,4,4,5,0,1,2,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c004_s01,images/class_4/sample_1.png,4,4,5,0,1,2,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c005_s00,images/class_5/sample_0.png,5,5,4,0,1,2,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
mock_c005_s01,images/class_5/sample_1.png,5,5,4,0,1,2,0.95,0.8,0.65,0.5,0.35,True,True,0.1499999999999999
