file_name,true_class_index,pred_class_index,correct,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top5_correct,true_rank,true_species,pred_1_species,pred_2_species,pred_3_species,pred_4_species,pred_5_species
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/80d4621f-113e-410b-a1b1-807f144e76b6.jpg,0,27,0,27,0,37,1,2,0.84912109375,0.035308837890625,0.00421905517578125,0.003429412841796875,0.0020313262939453125,1,2,Cross Orbweaver,Western Conifer Seed Bug,Cross Orbweaver,Florida Carpenter Ant,Golden Silk Spider,Six-spotted Fishing Spider
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/605da31a-81c6-4125-b03b-68d8c78aa3bd.jpg,0,140,0,140,5,270,0,247,0.03131103515625,0.019134521484375,0.0171661376953125,0.0166168212890625,0.015228271484375,1,4,Cross Orbweaver,Spiny Seahorse,Eastern Bark Centipede,Scaly Chanterelle,Cross Orbweaver,Western Rattlesnake
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/a7579753-4405-4c4a-8b9e-85cb8e93c847.jpg,0,1,0,1,0,25,203,3,0.060943603515625,0.060516357421875,0.02264404296875,0.0198211669921875,0.01346588134765625,1,2,Cross Orbweaver,Golden Silk Spider,Cross Orbweaver,Florida Leaf-footed Bug,Olive-sided Flycatcher,Johnson's Jumping Spider
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/787050d9-fdd0-46c9-8fea-475e4bd98546.jpg,0,37,0,37,5,7,0,144,0.03143310546875,0.0302276611328125,0.02740478515625,0.0189361572265625,0.018890380859375,1,4,Cross Orbweaver,Florida Carpenter Ant,Eastern Bark Centipede,Emerald Ash Borer,Cross Orbweaver,Green Salamander
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/adba12d8-9810-4be0-a900-385766c287b7.jpg,1,2,0,2,1,435,121,120,0.55224609375,0.080810546875,0.006591796875,0.005702972412109375,0.004924774169921875,1,2,Golden Silk Spider,Six-spotted Fishing Spider,Golden Silk Spider,Tropic Croton,Small Spreadwing,Dragonhunter
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/1d74a0bb-db5a-42ad-b800-aec6f6135cea.jpg,2,1,0,1,2,27,37,26,0.1343994140625,0.12066650390625,0.060089111328125,0.02734375,0.02496337890625,1,2,Six-spotted Fishing Spider,Golden Silk Spider,Six-spotted Fishing Spider,Western Conifer Seed Bug,Florida Carpenter Ant,Western Leaf-footed Bug
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/482d7e58-4759-46ea-9580-bc54a0879e41.jpg,2,141,0,141,127,143,2,242,0.11029052734375,0.0638427734375,0.019439697265625,0.01800537109375,0.017852783203125,1,4,Six-spotted Fishing Spider,Cachabi Robber Frog,New Zealand Half Crab,Northern Red-legged Frog,Six-spotted Fishing Spider,Brown Basilisk
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/8bcfd228-9943-4dbd-8ca1-cdf43e398812.jpg,3,249,0,249,3,127,37,11,0.63916015625,0.06427001953125,0.0122833251953125,0.00760650634765625,0.006328582763671875,1,2,Johnson's Jumping Spider,Beadlet anemone,Johnson's Jumping Spider,New Zealand Half Crab,Florida Carpenter Ant,False Potato Beetle
val/00152_Animalia_Arthropoda_Arachnida_Scorpiones_Vaejovidae_Paravaejovis_puritanus/b4fbf0e2-330f-4ae7-9949-4c6728321494.jpg,4,251,0,251,4,237,354,224,0.1978759765625,0.035552978515625,0.019866943359375,0.01511383056640625,0.0147247314453125,1,2,Paravaejovis puritanus,Queen Conch,Paravaejovis puritanus,Texas Alligator Lizard,Strawberry Cactus,Culpeo
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/b76aa04d-4e5c-441a-ae9a-29860df80cba.jpg,5,6,0,6,5,239,243,237,0.1641845703125,0.16259765625,0.03167724609375,0.0216064453125,0.006526947021484375,1,2,Eastern Bark Centipede,Giant Desert Centipede,Eastern Bark Centipede,Eastern Milksnake,Texas Coralsnake,Texas Alligator Lizard
