class_index,category_id,species_name,precision,recall,f1,support
0,9,Araneus diadematus,0.5454545454545454,0.6,0.5714285714285714,10
1,45,Trichonephila clavipes,0.5714285714285714,0.4,0.47058823529411764,10
2,70,Dolomedes triton,0.6153846153846154,0.8,0.6956521739130435,10
3,94,Phidippus johnsoni,1.0,0.6,0.75,10
4,152,Paravaejovis puritanus,0.8,0.8,0.8,10
5,157,Hemiscolopendra marginata,0.7,0.7,0.7,10
6,159,Scolopendra heros,1.0,0.8,0.8888888888888888,10
7,184,Agrilus planipennis,0.6666666666666666,0.4,0.5,10
8,193,Chauliognathus pensylvanicus,0.6666666666666666,0.4,0.5,10
9,251,Rutpela maculata,0.5833333333333334,0.7,0.6363636363636364,10
10,260,Trichocnemis spiculatus,0.5,0.7,0.5833333333333334,10
11,290,Leptinotarsa juncta,0.8888888888888888,0.8,0.8421052631578947,10
12,326,Henosepilachna vigintioctopunctata,0.75,0.9,0.8181818181818182,10
13,332,Psyllobora vigintiduopunctata,0.6666666666666666,0.8,0.7272727272727273,10
14,351,Anoplotrupes stercorosus,0.7692307692307693,1.0,0.8695652173913043,10
15,370,Oedemera femorata,0.875,0.7,0.7777777777777778,10
16,384,Euphoria kernii,0.5714285714285714,0.8,0.6666666666666666,10
17,386,Exomala orientalis,0.375,0.3,0.3333333333333333,10
18,435,Calliphora vicina,0.8571428571428571,0.6,0.7058823529411765,10
19,457,Exaireta spinigera,0.5333333333333333,0.8,0.64,10
20,461,Copestylum mexicanum,0.45454545454545453,0.5,0.47619047619047616,10
21,470,Eristalis stipator,0.7777777777777778,0.7,0.7368421052631579,10
22,472,Eristalis transversa,0.45454545454545453,0.5,0.47619047619047616,10
23,493,Toxomerus politus,0.8,0.8,0.8,10
24,513,Adelges tsugae,0.75,0.9,0.8181818181818182,10
25,558,Acanthocephala femorata,0.75,0.9,0.8181818181818182,10
26,567,Leptoglossus clypealis,0.4166666666666667,0.5,0.45454545454545453,10
27,568,Leptoglossus occidentalis,0.6,0.6,0.6,10
28,597,Adelphocoris lineolatus,0.75,0.6,0.6666666666666666,10
29,624,Graphosoma italicum,1.0,1.0,1.0,10
30,626,Halyomorpha halys,0.8,0.8,0.8,10
31,630,Nezara viridula,0.6,0.6,0.6,10
32,651,Phymata americana,0.6666666666666666,0.6,0.631578947368421,10
33,671,Andrena cineraria,0.8,0.8,0.8,10
34,711,Xylocopa micans,0.5,0.4,0.4444444444444444,10
35,718,Cimbex americanus,0.5,0.5,0.5,10
36,727,Amphibolips confluenta,0.7,0.7,0.7,10
37,743,Camponotus floridanus,0.4166666666666667,0.5,0.45454545454545453,10
38,747,Camponotus novaeboracensis,0.47058823529411764,0.8,0.5925925925925926,10
39,774,Augochlora pura,0.5,0.5,0.5,10
40,775,Augochloropsis metallica,0.5333333333333333,0.8,0.64,10
41,799,Ammophila procera,0.5714285714285714,0.8,0.6666666666666666,10
42,819,Mischocyttarus flavitarsis,0.6428571428571429,0.9,0.75,10
43,858,Achyra rantalis,0.8333333333333334,0.5,0.625,10
44,859,Agriphila straminella,0.6,0.6,0.6,10
45,921,Parapoynx diminutalis,0.9090909090909091,1.0,0.9523809523809523,10
46,924,Perispasta caeculalis,1.0,1.0,1.0,10
47,937,Pyrausta volupialis,0.875,0.7,0.7777777777777778,10
48,949,Urola nivalis,0.8181818181818182,0.9,0.8571428571428571,10
49,987,Bulia deducta,0.7272727272727273,0.8,0.7619047619047619,10
50,997,Catocala grynea,1.0,0.6,0.75,10
51,998,Catocala ilia,0.625,0.5,0.5555555555555556,10
52,1047,Hypena bijugalis,0.7272727272727273,0.8,0.7619047619047619,10
53,1076,Melipotis acontioides,0.6666666666666666,0.6,0.631578947368421,10
54,1103,Pantydia sparsa,0.8181818181818182,0.9,0.8571428571428571,10
55,1164,Chiasmia clathrata,0.875,0.7,0.7777777777777778,10
56,1167,Chlorochlamys chloroleucaria,1.0,0.9,0.9473684210526315,10
57,1176,Colotois pennaria,0.75,0.9,0.8181818181818182,10
58,1233,Idaea aversata,0.8181818181818182,0.9,0.8571428571428571,10
59,1242,Ilexia intractata,1.0,0.8,0.8888888888888888,10
60,1297,Probole amicaria,0.8333333333333334,1.0,0.9090909090909091,10
61,1314,Tetracis cachexiata,1.0,1.0,1.0,10
62,1315,Tetracis crocallata,0.9,0.9,0.9,10
63,1335,Ancyloxypha numitor,0.6,0.6,0.6,10
64,1346,Burnsius philetas,0.9,0.9,0.9,10
65,1362,Erynnis juvenalis,0.6666666666666666,0.6,0.631578947368421,10
66,1374,Iambrix salsala,0.8333333333333334,1.0,0.9090909090909091,10
67,1376,Lerodea eufala,0.5,0.4,0.4444444444444444,10
68,1378,Lon melane,0.5,0.5,0.5,10
69,1393,Polites mystic,0.75,0.6,0.6666666666666666,10
70,1405,Thymelicus lineola,0.6666666666666666,0.4,0.5,10
71,1408,Urbanus dorantes,0.5,0.3,0.375,10
72,1430,Euclea incisa,0.8888888888888888,0.8,0.8421052631578947,10
73,1439,Anthene emolus,0.8181818181818182,0.9,0.8571428571428571,10
74,1455,Catochrysops strabo,0.8333333333333334,1.0,0.9090909090909091,10
75,1458,Celastrina ladon,0.6428571428571429,0.9,0.75,10
76,1469,Cyaniris semiargus,0.6666666666666666,0.8,0.7272727272727273,10
77,1485,Icaricia icarioides,0.5,0.4,0.4444444444444444,10
78,1493,Leptotes marina,0.6363636363636364,0.7,0.6666666666666666,10
79,1534,Satyrium titus,0.8571428571428571,0.6,0.7058823529411765,10
80,1583,Autographa californica,0.36363636363636365,0.4,0.38095238095238093,10
81,1649,Lithacodia musta,0.8333333333333334,1.0,0.9090909090909091,10
82,1653,Maliattha synochitis,0.875,0.7,0.7777777777777778,10
83,1691,Ponometia semiflava,0.8,0.8,0.8,10
84,1729,Pseudoips prasinana,0.6666666666666666,1.0,0.8,10
85,1748,Peridea angulosa,0.6923076923076923,0.9,0.782608695652174,10
86,1802,Brenthis ino,1.0,0.9,0.9473684210526315,10
87,1838,Doxocopa laure,1.0,0.6,0.75,10
88,1840,Dryas iulia,0.8333333333333334,1.0,0.9090909090909091,10
89,1854,Euphydryas phaeton,0.75,0.9,0.8181818181818182,10
90,1908,Limenitis arthemis,0.75,0.6,0.6666666666666666,10
91,1938,Nymphalis antiopa,0.5,0.5,0.5,10
92,1968,Smyrna blomfildia,1.0,0.9,0.9473684210526315,10
93,2009,Papilio anactus,0.6666666666666666,0.6,0.631578947368421,10
94,2034,Papilio thoas,0.8888888888888888,0.8,0.8421052631578947,10
95,2073,Eurema daira,0.7142857142857143,0.5,0.5882352941176471,10
96,2077,Glutophrissa drusilla,0.9,0.9,0.9,10
97,2092,Pieris brassicae,0.8333333333333334,0.5,0.625,10
98,2129,Moodna ostrinella,0.875,0.7,0.7777777777777778,10
99,2139,Calephelis nemesis,0.6,0.9,0.72,10
100,2145,Melanis pixe,0.9090909090909091,1.0,0.9523809523809523,10
101,2149,Anisota senatoria,0.9,0.9,0.9,10
102,2161,Hemileuca maia,0.5714285714285714,0.4,0.47058823529411764,10
103,2166,Saturnia pavonia,0.75,0.9,0.8181818181818182,10
104,2167,Saturnia pyri,0.8333333333333334,1.0,0.9090909090909091,10
105,2185,Dolba hyloeus,0.75,0.6,0.6666666666666666,10
106,2198,Hippotion scrofa,0.9,0.9,0.9,10
107,2211,Paonias excaecata,0.7,0.7,0.7,10
108,2222,Sphinx pinastri,0.5384615384615384,0.7,0.6086956521739131,10
109,2235,Argyrotaenia velutinana,0.6363636363636364,0.7,0.6666666666666666,10
110,2246,Cydia latiferreana,0.9090909090909091,1.0,0.9523809523809523,10
111,2249,Epiblema otiosana,0.75,0.9,0.8181818181818182,10
112,2262,Platynota rostrana,0.8181818181818182,0.9,0.8571428571428571,10
113,2284,Orthodera ministralis,0.625,0.5,0.5555555555555556,10
114,2297,Chrysopa oculata,1.0,0.9,0.9473684210526315,10
115,2303,Libelloides coccajus,0.9,0.9,0.9,10
116,2332,Calopteryx maculata,0.8,0.8,0.8,10
117,2369,Enallagma cyathigerum,0.5454545454545454,0.6,0.5714285714285714,10
118,2375,Enallagma geminatum,0.5555555555555556,0.5,0.5263157894736842,10
119,2427,Erpetogomphus designatus,0.9,0.9,0.9,10
120,2432,Hagenius brevistylus,0.8,0.8,0.8,10
121,2463,Lestes virens,0.8888888888888888,0.8,0.8421052631578947,10
122,2527,Neurothemis taiwanensis,0.7692307692307693,1.0,0.8695652173913043,10
123,2628,Pseudochorthippus curtipennis,0.5714285714285714,0.4,0.47058823529411764,10
124,2633,Schistocerca obscura,0.7142857142857143,0.5,0.5882352941176471,10
125,2668,Conocephalus fuscus,0.5,0.6,0.5454545454545454,10
126,2702,Faxonius virilis,0.45454545454545453,0.5,0.47619047619047616,10
127,2736,Petrolisthes elongatus,0.6666666666666666,0.8,0.7272727272727273,10
128,2769,Pimephales notatus,0.5833333333333334,0.7,0.6363636363636364,10
129,2770,Rhinichthys atratulus,0.7142857142857143,0.5,0.5882352941176471,10
130,2773,Squalius cephalus,0.5833333333333334,0.7,0.6363636363636364,10
131,2800,Lepomis auritus,0.6666666666666666,0.8,0.7272727272727273,10
132,2812,Chaetodon capistratus,0.9,0.9,0.9,10
133,2836,Eupetrichthys angustipes,0.875,0.7,0.7777777777777778,10
134,2855,Parupeneus spilurus,0.5384615384615384,0.7,0.6086956521739131,10
135,2858,Perca flavescens,1.0,0.5,0.6666666666666666,10
136,2866,Abudefduf vaigiensis,1.0,0.6,0.75,10
137,2878,Aplodinotus grunniens,0.5833333333333334,0.7,0.6363636363636364,10
138,2884,Paralabrax clathratus,0.7,0.7,0.7,10
139,2914,Plotosus lineatus,0.75,0.6,0.6666666666666666,10
140,2919,Hippocampus histrix,0.7142857142857143,1.0,0.8333333333333334,10
141,2973,Pristimantis achatinus,0.5384615384615384,0.7,0.6086956521739131,10
142,3014,Litoria fallax,0.5,0.5,0.5,10
143,3040,Rana aurora,0.3,0.3,0.3,10
144,3070,Aneides aeneus,0.7272727272727273,0.8,0.7619047619047619,10
145,3107,Triturus carnifex,0.16666666666666666,0.1,0.125,10
146,3120,Aquila heliaca,0.4444444444444444,0.4,0.42105263157894735,10
147,3177,Pernis apivorus,0.625,0.5,0.5555555555555556,10
148,3199,Anas georgica,0.6363636363636364,0.7,0.6666666666666666,10
149,3244,Cygnus olor,0.6,0.6,0.6,10
150,3258,Melanitta perspicillata,0.2857142857142857,0.4,0.3333333333333333,10
151,3259,Mergellus albellus,0.625,0.5,0.5555555555555556,10
152,3260,Mergus merganser,0.3333333333333333,0.5,0.4,10
153,3306,Archilochus alexandri,0.75,0.6,0.6666666666666666,10
154,3321,Heliodoxa jacula,0.9090909090909091,1.0,0.9523809523809523,10
