file_name,true_class_index,pred_class_index,correct,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top5_correct,true_rank,true_species,pred_1_species,pred_2_species,pred_3_species,pred_4_species,pred_5_species
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/80d4621f-113e-410b-a1b1-807f144e76b6.jpg,0,27,0,27,42,26,37,0,0.73876953125,0.03692626953125,0.01390838623046875,0.0127716064453125,0.0068511962890625,1,5,Cross Orbweaver,Western Conifer Seed Bug,Western Paper Wasp,Western Leaf-footed Bug,Florida Carpenter Ant,Cross Orbweaver
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/a7579753-4405-4c4a-8b9e-85cb8e93c847.jpg,0,1,0,1,0,27,2,207,0.1395263671875,0.053253173828125,0.03424072265625,0.0268096923828125,0.022735595703125,1,2,Cross Orbweaver,Golden Silk Spider,Cross Orbweaver,Western Conifer Seed Bug,Six-spotted Fishing Spider,Ash-throated Flycatcher
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/80740680-611b-4bb0-af20-72f7e609c6fe.jpg,1,9,0,9,93,1,170,183,0.07879638671875,0.061981201171875,0.059967041015625,0.039031982421875,0.0222930908203125,1,3,Golden Silk Spider,Spotted Longhorn,Dainty Swallowtail,Golden Silk Spider,Yellow Grosbeak,White-plumed Honeyeater
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/83fced69-b90f-4cd9-8cff-2c79d4b3167b.jpg,1,365,0,365,1,23,76,77,0.1029052734375,0.059783935546875,0.0223388671875,0.0222625732421875,0.0218963623046875,1,2,Golden Silk Spider,skeleton weed,Golden Silk Spider,Maize Calligrapher Fly,Mazarine Blue,Boisduval's Blue
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/7eb6b54f-72d7-4789-843c-b6ffab5f7ee8.jpg,1,316,0,316,366,2,1,116,0.0159149169921875,0.0132293701171875,0.01113128662109375,0.01068878173828125,0.01033782958984375,1,4,Golden Silk Spider,Octopus Tree,Fringed Bindweed,Six-spotted Fishing Spider,Golden Silk Spider,Ebony Jewelwing
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/8fef2173-c270-4f9e-a0b3-93bd67af0cb8.jpg,1,420,0,420,243,1,370,377,0.14013671875,0.048919677734375,0.033966064453125,0.0283966064453125,0.0177764892578125,1,3,Golden Silk Spider,Beechdrops,Texas Coralsnake,Golden Silk Spider,woodland pterostegia,Western Snowberry
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/9a01c39b-421b-4134-aa67-fdaafeb68675.jpg,1,2,0,2,1,361,435,282,0.266845703125,0.05914306640625,0.033721923828125,0.0300140380859375,0.017730712890625,1,2,Golden Silk Spider,Six-spotted Fishing Spider,Golden Silk Spider,lesser stitchwort,Tropic Croton,spring spiderlily
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/b93706c7-8406-4f61-9223-9ef6aba4759c.jpg,1,2,0,2,1,0,11,42,0.2015380859375,0.177490234375,0.0231170654296875,0.0186767578125,0.01360321044921875,1,2,Golden Silk Spider,Six-spotted Fishing Spider,Golden Silk Spider,Cross Orbweaver,False Potato Beetle,Western Paper Wasp
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/1d74a0bb-db5a-42ad-b800-aec6f6135cea.jpg,2,1,0,1,2,30,37,125,0.268310546875,0.1580810546875,0.0240325927734375,0.02349853515625,0.0234375,1,2,Six-spotted Fishing Spider,Golden Silk Spider,Six-spotted Fishing Spider,Brown Marmorated Stink Bug,Florida Carpenter Ant,Long-winged Conehead
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/f280614c-ac2a-4fe6-9ac7-9f712483f769.jpg,3,33,0,33,35,3,19,226,0.08123779296875,0.04644775390625,0.0401611328125,0.0275726318359375,0.0261383056640625,1,3,Johnson's Jumping Spider,Ashy Mining Bee,Elm Sawfly,Johnson's Jumping Spider,Garden soldier fly,Hooded Skunk
