class_index,category_id,species_name,precision,recall,f1,support
0,9,Araneus diadematus,0.0,0.0,0.0,2
1,45,Trichonephila clavipes,0.0,0.0,0.0,2
2,70,Dolomedes triton,1.0,0.5,0.6666666666666666,2
3,94,Phidippus johnsoni,0.3333333333333333,0.5,0.4,2
4,152,Paravaejovis puritanus,1.0,0.5,0.6666666666666666,2
5,157,Hemiscolopendra marginata,0.0,0.0,0.0,2
6,159,Scolopendra heros,0.25,0.5,0.3333333333333333,2
7,184,Agrilus planipennis,0.0,0.0,0.0,2
8,193,Chauliognathus pensylvanicus,0.0,0.0,0.0,2
9,251,Rutpela maculata,0.0,0.0,0.0,2
10,260,Trichocnemis spiculatus,0.5,0.5,0.5,2
11,290,Leptinotarsa juncta,1.0,0.5,0.6666666666666666,2
12,326,Henosepilachna vigintioctopunctata,0.3333333333333333,0.5,0.4,2
13,332,Psyllobora vigintiduopunctata,0.3333333333333333,0.5,0.4,2
14,351,Anoplotrupes stercorosus,0.25,0.5,0.3333333333333333,2
15,370,Oedemera femorata,0.0,0.0,0.0,2
16,384,Euphoria kernii,0.6666666666666666,1.0,0.8,2
17,386,Exomala orientalis,1.0,0.5,0.6666666666666666,2
18,435,Calliphora vicina,0.0,0.0,0.0,2
19,457,Exaireta spinigera,0.6666666666666666,1.0,0.8,2
20,461,Copestylum mexicanum,0.0,0.0,0.0,2
21,470,Eristalis stipator,0.0,0.0,0.0,2
22,472,Eristalis transversa,0.25,0.5,0.3333333333333333,2
23,493,Toxomerus politus,0.5,0.5,0.5,2
24,513,Adelges tsugae,0.25,0.5,0.3333333333333333,2
25,558,Acanthocephala femorata,0.0,0.0,0.0,2
26,567,Leptoglossus clypealis,0.0,0.0,0.0,2
27,568,Leptoglossus occidentalis,0.0,0.0,0.0,2
28,597,Adelphocoris lineolatus,0.3333333333333333,0.5,0.4,2
29,624,Graphosoma italicum,1.0,0.5,0.6666666666666666,2
30,626,Halyomorpha halys,0.0,0.0,0.0,2
31,630,Nezara viridula,0.0,0.0,0.0,2
32,651,Phymata americana,0.16666666666666666,0.5,0.25,2
33,671,Andrena cineraria,0.2,0.5,0.2857142857142857,2
34,711,Xylocopa micans,0.0,0.0,0.0,2
35,718,Cimbex americanus,0.0,0.0,0.0,2
36,727,Amphibolips confluenta,0.5,0.5,0.5,2
37,743,Camponotus floridanus,0.0,0.0,0.0,2
38,747,Camponotus novaeboracensis,0.3333333333333333,0.5,0.4,2
39,774,Augochlora pura,0.3333333333333333,0.5,0.4,2
40,775,Augochloropsis metallica,0.5,0.5,0.5,2
41,799,Ammophila procera,0.0,0.0,0.0,2
42,819,Mischocyttarus flavitarsis,0.0,0.0,0.0,2
43,858,Achyra rantalis,0.0,0.0,0.0,2
44,859,Agriphila straminella,0.0,0.0,0.0,2
45,921,Parapoynx diminutalis,0.6666666666666666,1.0,0.8,2
46,924,Perispasta caeculalis,1.0,1.0,1.0,2
47,937,Pyrausta volupialis,1.0,0.5,0.6666666666666666,2
48,949,Urola nivalis,0.0,0.0,0.0,2
49,987,Bulia deducta,0.0,0.0,0.0,2
50,997,Catocala grynea,0.5,0.5,0.5,2
51,998,Catocala ilia,0.0,0.0,0.0,2
52,1047,Hypena bijugalis,0.0,0.0,0.0,2
53,1076,Melipotis acontioides,1.0,0.5,0.6666666666666666,2
54,1103,Pantydia sparsa,0.6666666666666666,1.0,0.8,2
55,1164,Chiasmia clathrata,0.6666666666666666,1.0,0.8,2
56,1167,Chlorochlamys chloroleucaria,0.2,0.5,0.2857142857142857,2
57,1176,Colotois pennaria,0.6666666666666666,1.0,0.8,2
58,1233,Idaea aversata,1.0,0.5,0.6666666666666666,2
59,1242,Ilexia intractata,1.0,1.0,1.0,2
60,1297,Probole amicaria,0.0,0.0,0.0,2
61,1314,Tetracis cachexiata,0.0,0.0,0.0,2
