file_name,true_class_index,pred_class_index,correct,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top5_correct,true_rank,true_species,pred_1_species,pred_2_species,pred_3_species,pred_4_species,pred_5_species
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/1d74a0bb-db5a-42ad-b800-aec6f6135cea.jpg,2,500,0,500,1014,2,37,1072,0.170166015625,0.1041259765625,0.04278564453125,0.038543701171875,0.0246734619140625,1,3,Six-spotted Fishing Spider,Giant House Spider,Brown Widow,Six-spotted Fishing Spider,Florida Carpenter Ant,Eastern Phantom Crane Fly
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/49c17484-b915-4451-bd7e-d107a8e28aa0.jpg,3,510,0,510,1067,1058,3,1312,0.20947265625,0.024871826171875,0.0205535888671875,0.0176544189453125,0.0151824951171875,1,4,Johnson's Jumping Spider,Poplar Leaf Beetle,Hirta Beetle,Margined Shining Leaf Chafer,Johnson's Jumping Spider,Boxwood Leaftier Moth
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/b76aa04d-4e5c-441a-ae9a-29860df80cba.jpg,5,1026,0,1026,5,1027,243,6,0.201904296875,0.03302001953125,0.02972412109375,0.0227813720703125,0.014556884765625,1,2,Eastern Bark Centipede,Common Desert Centipede,Eastern Bark Centipede,Greenhouse Millipede,Texas Coralsnake,Giant Desert Centipede
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/4091a551-6ad8-4cea-bc03-4195c592de62.jpg,5,6,0,6,1026,1320,1297,5,0.466064453125,0.051025390625,0.043701171875,0.034423828125,0.0340576171875,1,5,Eastern Bark Centipede,Giant Desert Centipede,Common Desert Centipede,Bedstraw Hawk-moth,Old World Swallowtail,Eastern Bark Centipede
val/00184_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Agrilus_planipennis/c260abd1-09d2-431b-b01a-a0149c4c3922.jpg,7,1259,0,1259,2212,1756,7,2418,0.12457275390625,0.10870361328125,0.0909423828125,0.02490234375,0.0179290771484375,1,4,Emerald Ash Borer,Double-toothed Prominent Moth,sweet birch,Crested Anole,Emerald Ash Borer,Gumbo Limbo
val/00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus/99e3a1d5-6e58-4430-bf98-56460a57caec.jpg,8,15,0,15,9,1270,8,1149,0.04742431640625,0.040863037109375,0.036376953125,0.0258026123046875,0.024810791015625,1,4,Goldenrod Soldier Beetle,Oedemera femorata,Spotted Longhorn,Lesser Wanderer,Goldenrod Soldier Beetle,Black-and-yellow Lichen Moth
val/00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata/2fe77173-a78b-454b-9127-7f5c829db93f.jpg,9,1035,0,1035,1098,9,2185,1080,0.404541015625,0.06488037109375,0.03466796875,0.0258331298828125,0.0236968994140625,1,3,Spotted Longhorn,Wasp Beetle,Meadow Plant Bug,Spotted Longhorn,Showy Rattlebox,White-bowed Smoothwing
val/00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata/4c17988f-8511-470d-a86d-6f07cd2005c6.jpg,9,325,0,325,1075,2093,9,816,0.0423583984375,0.033905029296875,0.027587890625,0.0250244140625,0.022979736328125,1,4,Spotted Longhorn,tall boneset,Dangling Swamp-lover,field peppergrass,Spotted Longhorn,Cow Parsley
val/00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta/6e2c087a-ada3-4ae9-9bef-8c06c474c454.jpg,11,1050,0,1050,11,12,1042,1013,0.11444091796875,0.08551025390625,0.07623291015625,0.050201416015625,0.04888916015625,1,2,False Potato Beetle,Ashy Gray Ladybug,False Potato Beetle,Hadda Beetle,Bean Leaf Beetle,Common candy-striped spider
val/00332_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Psyllobora_vigintiduopunctata/aa5cd3ef-d5d3-4d52-862a-dd995f705001.jpg,13,12,0,12,13,1004,11,1864,0.1785888671875,0.0762939453125,0.0269012451171875,0.0175323486328125,0.01561737060546875,1,2,22-spot Ladybird Beetle,Hadda Beetle,22-spot Ladybird Beetle,Spinybacked Orbweaver,False Potato Beetle,Hollyhock Rust
