method_key,method_name,split_id,initialization,device,random_seed,num_classes,num_test_samples,top1_accuracy,top5_accuracy,overall_accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,test_loss,best_epoch,training_time_seconds,feature_extraction_time_seconds,vocabulary_time_seconds,inference_time_seconds,inference_images_per_second,recorded_total_run_seconds,timing_note
hog_svm,Legacy HOG + SGD linear SVM (20 iterations),inat500_seed9517,handcrafted,,9517,500,5000,0.028,0.0866,0.028,0.025612481473151937,0.028,0.021140610731211637,0.028,,,55.10368559999915,,,0.135974000004353,36771.73577183824,,"Legacy result: classifier fit only; HOG extraction was not recorded. The estimator was SGDClassifier with hinge loss, not LinearSVC."
color_sgd_svm,HSV colour histogram + SGD linear SVM,inat500_seed9517,handcrafted,,9517,500,5000,0.0188,0.0724,0.0188,0.023330382318741957,0.0188,0.014456757231336681,0.0188,,,3.8868972000000213,80.44919409999966,,0.024849400000675814,201212.10169517243,4.810253299999204,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
lbp_sgd_svm,Uniform LBP + SGD linear SVM,inat500_seed9517,handcrafted,,9517,500,5000,0.0046,0.0178,0.0046,0.004921424190370049,0.0046,0.0025586813429026196,0.0046,,,1.5329041000004509,23.673172599998907,,0.018848699999580276,265270.28389816487,26.291768899999624,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
hog_sgd_svm,HOG + SGD linear SVM,inat500_seed9517,handcrafted,,9517,500,5000,0.0298,0.0834,0.0298,0.025560635591003175,0.029800000000000004,0.023453008970834657,0.029800000000000004,,,75.18292709999969,30.468148300000394,,0.04603489999954036,108613.24777614209,112.89835390000007,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
sift_bovw_sgd_svm,SIFT Bag-of-Visual-Words + SGD linear SVM,inat500_seed9517,handcrafted,,9517,500,5000,0.0122,0.0482,0.0122,0.009298492895293099,0.012199999999999999,0.006566082227248441,0.012199999999999999,,,4.165196800000558,973.4739287000011,142.48118280000017,0.027035199999772885,184944.07291390497,1121.5080865,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
color_linear_svc,HSV colour histogram + LinearSVC,inat500_seed9517,handcrafted,,9517,500,5000,0.0306,0.1012,0.0306,0.021877042715668385,0.030600000000000002,0.01838547469462284,0.030600000000000002,,,329.6594492000004,80.44919409999966,,0.055155300000478746,90653.11946370703,414.56861780000054,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
hog_random_forest,HOG + Random Forest (300 trees),inat500_seed9517,handcrafted,,9517,500,5000,0.0248,0.0672,0.0248,0.018218427616701872,0.024799999999999996,0.01918409646573894,0.024799999999999996,,,1531.3217622999991,30.468148300000394,,1.6595312999997986,3012.898882956053,1548.6546939999998,Classifier fit time is separate from first-pass feature extraction; see feature_extraction_time_seconds.
simple_cnn,SimpleCNN from scratch,inat500_seed9517,random,cuda,9517,500,5000,0.0394,0.1286,0.0394,0.025714197734279815,0.039400000000000004,0.021656121282202855,0.039400000000000004,5.32018720703125,3,74.62924310003291,,,14.691507100011222,340.332681049188,155.8284399000113,Recorded directly from the experiment.
resnet18_pretrained,ImageNet-pretrained ResNet18,inat500_seed9517,imagenet,cuda,9517,500,5000,0.3726,0.6416,0.3726,0.4432560124988884,0.37260000000000004,0.36092963162838676,0.37260000000000004,2.824925907897949,3,71.10720640004729,,,13.819255799986422,361.81398422373167,151.45112420001533,Recorded directly from the experiment.
resnet50_optimized,Optimized ImageNet-pretrained ResNet50,inat500_seed9517,imagenet,cuda,9517,500,5000,0.7826,0.918,0.7826,0.7924261561967444,0.7826000000000001,0.7798771910025631,0.7826000000000001,1.873267417907715,9,,,,28.571324799995637,175.00063560233522,103.35568579999381,Original per-epoch training time was not recorded; left blank.
convnext_mixup,ImageNet-pretrained ConvNeXt-Tiny + MixUp,inat500_seed9517,imagenet,cuda,9517,500,5000,0.8272,0.9456,0.8272,0.8375962455672982,0.8272,0.8251952058610925,0.8272,1.6853710235595702,12,616.5057166999613,,,21.480488300003344,232.76938262149383,936.8934149999986,Recorded directly from the experiment.
deep_ensemble,Validation-selected ResNet50/ConvNeXt ensemble,inat500_seed9517,ensemble,,9517,500,5000,0.8378,0.949,0.8378,0.8485744283494284,0.8378,0.8362794381541642,0.8378,,,,,,35.86225160001777,139.42236688779246,,No training time; inference sums both component model test passes.
