sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2776756,val/07513_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Plumbaginaceae_Limonium_perezii/7b221db8-b11b-40ff-a53b-60252f46222b.jpg,363,363,-0.2996067506916201,431,-0.7121051794399915,454,-0.7332016089605022,21,-0.8116864031244071,457,-0.8280889348473532,True,True,0.4124984287483714
2786408,val/04609_Animalia_Chordata_Elasmobranchii_Orectolobiformes_Ginglymostomatidae_Ginglymostoma_cirratum/5154dcce-4251-461d-a015-451e1a26db17.jpg,219,219,-0.3984162944037106,150,-0.4822801588008532,133,-0.6509999186139541,130,-0.7669607198900228,12,-0.7690597855027586,True,True,0.08386386439714255
2777951,val/04609_Animalia_Chordata_Elasmobranchii_Orectolobiformes_Ginglymostomatidae_Ginglymostoma_cirratum/f8b7228e-960b-46ac-9359-9828b192a0dc.jpg,219,219,-0.4162844758643849,139,-0.7426597422308552,59,-0.7934896065109585,133,-0.7962005945303703,185,-0.8749587398839581,True,True,0.3263752663664703
2754714,val/00470_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_stipator/444d2569-d343-4aa9-8515-a7b8dba9f3b3.jpg,21,21,-0.4261782339906561,138,-0.7359454966630287,23,-0.8418229883059618,16,-0.8424016553968072,43,-0.8531362399196432,True,True,0.3097672626723726
2770319,val/00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa/5a2189a3-bff0-477d-9267-d4c3faee8a87.jpg,22,22,-0.4858033642330103,16,-0.7325853895668188,40,-0.83037159869676,69,-0.8346635300189942,39,-0.8433768516623315,True,True,0.24678202533380855
2711332,val/04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura/dff7ca0d-7933-4b19-a420-9c4426fd1e1f.jpg,226,226,-0.5114526398781422,178,-0.8814058852260702,54,-0.895745342517623,51,-0.8965752085968729,224,-0.8987322271464236,True,True,0.36995324534792806
2774589,val/04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura/9ec2a1c4-2f98-4cfb-97ce-91236b102673.jpg,226,226,-0.5137018305630116,178,-0.8781208546990719,224,-0.9048988932824708,54,-0.9063500313221754,51,-0.9128072144419036,True,True,0.3644190241360603
2742004,val/07513_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Plumbaginaceae_Limonium_perezii/20fa5ac1-dde1-48ba-8b3e-21c07af156a7.jpg,363,363,-0.5305232663383238,431,-0.7783992602945575,344,-0.8817674744951293,457,-0.9022586762884794,34,-0.9044571265085553,True,True,0.24787599395623372
2707897,val/04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura/32f914d3-12af-4476-9796-a674e2b65e0a.jpg,226,226,-0.5356485758816621,223,-0.8240234811678999,224,-0.8249219410921291,178,-0.8667047791757169,162,-0.8994998534499355,True,True,0.28837490528623777
2738204,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/aa38a26e-d2aa-420c-8742-324a85e7e868.jpg,150,150,-0.5860167727328606,219,-0.7665413150343348,212,-0.7868887723230071,136,-0.8017525445378806,217,-0.8405465242417793,True,True,0.1805245423014742
2719860,val/07513_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Plumbaginaceae_Limonium_perezii/5dd7c87f-38b3-4225-bdb0-ade23116b2df.jpg,363,363,-0.6207104656669149,431,-0.8300317804479456,16,-0.8633186723887973,344,-0.8930661893294202,457,-0.916300372198932,True,True,0.20932131478103067
2775541,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/98e33f4f-75c4-4469-9b8c-dc6791f95db2.jpg,147,147,-0.6429561321140611,179,-0.6741867114331731,180,-0.7692348582560549,193,-0.8235082867799498,46,-0.8255974366305627,True,True,0.031230579319111995
