sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2691120,val/02914_Animalia_Chordata_Actinopterygii_Siluriformes_Plotosidae_Plotosus_lineatus/69ea2b7d-4fd7-4d2f-a0fb-37fcef3e879c.jpg,139,219,-0.259200022265306,139,-0.7274792382931237,133,-0.770688505482146,150,-0.8277879792317366,12,-0.8297480897259826,False,True,0.4682792160278177
2724893,val/02884_Animalia_Chordata_Actinopterygii_Perciformes_Serranidae_Paralabrax_clathratus/13955d34-0975-4fb4-9482-9be7e8b09f09.jpg,138,136,-0.384660417156475,138,-0.7784524409235789,140,-0.793816663348377,219,-0.8219078727798117,132,-0.8365944945400676,False,True,0.3937920237671039
2751553,val/02866_Animalia_Chordata_Actinopterygii_Perciformes_Pomacentridae_Abudefduf_vaigiensis/94a97538-b51a-4e41-a630-c95435e6b05d.jpg,136,219,-0.4007047788661086,136,-0.5757724463030874,134,-0.6425795577643971,140,-0.7385529574475462,132,-0.8010523273654497,False,True,0.17506766743697882
2689145,val/08956_Plantae_Tracheophyta_Magnoliopsida_Malvales_Malvaceae_Malva_assurgentiflora/3d44a0b9-a6b0-496f-8f36-b24976a8e5c5.jpg,444,15,-0.4144390301648167,444,-0.6852375772523422,419,-0.7622619505957045,150,-0.782873942374385,354,-0.7897240502387554,False,True,0.27079854708752554
2751084,val/06716_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Cirsium_texanum/b5d72e55-cf3b-419d-9398-f85afc9594e0.jpg,322,16,-0.4265481357259669,390,-0.6768819387197609,322,-0.7444340098262638,354,-0.7506688245331441,295,-0.7995091037403533,False,True,0.250333802993794
2780368,val/06094_Plantae_Tracheophyta_Liliopsida_Asparagales_Orchidaceae_Spathoglottis_plicata/fb5c48fa-6a2c-420a-9360-c33f30e0ca47.jpg,295,16,-0.4605469451504039,390,-0.6574822179219784,295,-0.8370538344852921,360,-0.8442262879152043,415,-0.8455136765823748,False,True,0.19693527277157447
2732488,val/03759_Animalia_Chordata_Aves_Passeriformes_Corvidae_Corvus_ossifragus/7d9f2a02-2ef5-4bfb-9073-27e7575812eb.jpg,172,153,-0.5223525093428731,172,-0.6242968614679856,179,-0.7837691464094073,161,-0.815884844079743,199,-0.8171965256801027,False,True,0.10194435212511244
2690652,val/04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus/37f5cffa-d35c-4e77-b23f-462f9f045d87.jpg,217,150,-0.5397581696559902,217,-0.8023289442197781,203,-0.8577340358381017,219,-0.8717336586217058,136,-0.8986068270745962,False,True,0.26257077456378786
2778002,val/03529_Animalia_Chordata_Aves_Columbiformes_Columbidae_Patagioenas_flavirostris/7279cfce-33cf-4609-b738-899e7600aa49.jpg,166,203,-0.5665430761939799,178,-0.6061898324887254,172,-0.6155141780934406,153,-0.7408900088090735,166,-0.7439492892156943,False,True,0.039646756294745455
2698772,val/07830_Plantae_Tracheophyta_Magnoliopsida_Ericales_Polemoniaceae_Phlox_drummondii/6b5a8a1d-6983-47dc-9005-beb2ca816cf6.jpg,390,16,-0.5739466327403459,390,-0.8023267303154522,354,-0.8091581858382916,322,-0.8485157947166189,415,-0.8875293934862124,False,True,0.22838009757510636
2780984,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/26c3cc20-7109-4f93-a1b6-4832045869b0.jpg,147,172,-0.5824445799241585,162,-0.7416436346144791,184,-0.8078624054322627,147,-0.8361814119791987,164,-0.8503281850630271,False,True,0.15919905469032058
2698316,val/02836_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Eupetrichthys_angustipes/54868fe9-bcaf-4c8c-9c95-169ac585ae65.jpg,133,219,-0.589363144980965,133,-0.7881523618710562,134,-0.8255710130403628,136,-0.8311510635244408,139,-0.8538378305103643,False,True,0.1987892168900912
