sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2780121,val/03259_Animalia_Chordata_Aves_Anseriformes_Anatidae_Mergellus_albellus/09b1fada-29e1-4d83-b0b6-fd63647eae3b.jpg,151,151,67.78182983398438,61,36.90008544921875,98,25.207000732421875,223,12.6190185546875,156,1.0863037109375,True,True,30.881744384765625
2706042,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/185f5d68-7b6e-4f76-9f76-1e975891079d.jpg,161,161,35.5167236328125,164,33.416839599609375,150,26.5797119140625,148,17.576934814453125,227,13.850616455078123,True,True,2.099884033203125
2770319,val/00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa/5a2189a3-bff0-477d-9267-d4c3faee8a87.jpg,22,22,33.415435791015625,40,0.515167236328125,209,-2.8077392578125,20,-4.937652587890625,69,-8.80413818359375,True,True,32.9002685546875
2703149,val/09199_Plantae_Tracheophyta_Magnoliopsida_Ranunculales_Ranunculaceae_Actaea_racemosa/9f6b06c5-62f9-4fb7-8878-9f8f67c758af.jpg,451,451,32.852630615234375,377,20.91094970703125,437,-1.86322021484375,317,-4.43731689453125,459,-8.474395751953125,True,True,11.941680908203125
2754714,val/00470_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_stipator/444d2569-d343-4aa9-8515-a7b8dba9f3b3.jpg,21,21,28.0509033203125,39,-12.297149658203123,88,-25.700897216796875,8,-27.41659545898437,32,-31.771697998046875,True,True,40.348052978515625
2776756,val/07513_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Plumbaginaceae_Limonium_perezii/7b221db8-b11b-40ff-a53b-60252f46222b.jpg,363,363,14.5623779296875,416,-31.537139892578125,431,-58.81085205078125,454,-63.88360595703125,427,-76.14468383789062,True,True,46.099517822265625
2777951,val/04609_Animalia_Chordata_Elasmobranchii_Orectolobiformes_Ginglymostomatidae_Ginglymostoma_cirratum/f8b7228e-960b-46ac-9359-9828b192a0dc.jpg,219,219,8.55657958984375,56,0.559844970703125,81,-6.58404541015625,251,-37.543731689453125,159,-47.850921630859375,True,True,7.996734619140625
2774589,val/04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura/9ec2a1c4-2f98-4cfb-97ce-91236b102673.jpg,226,226,-8.25750732421875,224,-84.8236083984375,253,-96.0640869140625,255,-104.395751953125,51,-128.58255004882812,True,True,76.56610107421875
2711332,val/04690_Animalia_Chordata_Mammalia_Carnivora_Mephitidae_Mephitis_macroura/dff7ca0d-7933-4b19-a420-9c4426fd1e1f.jpg,226,226,-13.64849853515625,253,-72.01638793945312,224,-90.36221313476562,223,-103.70208740234376,255,-104.2183837890625,True,True,58.367889404296875
2768010,val/04609_Animalia_Chordata_Elasmobranchii_Orectolobiformes_Ginglymostomatidae_Ginglymostoma_cirratum/ba9c4013-ae5c-42eb-8186-0408d04d70fc.jpg,219,219,-25.2301025390625,136,-35.10986328125,138,-38.101837158203125,132,-45.60617065429688,134,-47.493682861328125,True,True,9.8797607421875
2687566,val/00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa/2f14788e-ac54-4ca9-9cce-8dddaede0084.jpg,22,22,-27.062255859375,40,-39.96063232421875,74,-49.82028198242188,66,-52.90045166015625,142,-58.262725830078125,True,True,12.89837646484375
2718204,val/05541_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Mycenaceae_Roridomyces_austrororidus/7cc4e0ac-2044-4427-a8f3-a26723726139.jpg,268,268,-27.98095703125,267,-65.2586669921875,273,-67.36758422851562,264,-78.43380737304688,269,-79.21316528320312,True,True,37.2777099609375
