sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2708249,val/09918_Plantae_Tracheophyta_Polypodiopsida_Polypodiales_Blechnaceae_Lomaria_discolor/05990800-4c77-43a0-994d-4d7db80cb4a2.jpg,495,495,0.62,128,0.01,159,0.01,149,0.01,213,0.01,True,True,0.61
2736337,val/04732_Animalia_Chordata_Mammalia_Dermoptera_Cynocephalidae_Galeopterus_variegatus/b470bd75-c5ed-44b6-b3fb-cc18f1117e06.jpg,228,228,0.3166666666666666,141,0.0133333333333333,240,0.01,245,0.01,282,0.01,True,True,0.3033333333333333
2741438,val/02702_Animalia_Arthropoda_Malacostraca_Decapoda_Cambaridae_Faxonius_virilis/5d481016-4fb8-4f9e-9568-b70af85064e1.jpg,126,126,0.2966666666666667,450,0.0133333333333333,272,0.0133333333333333,134,0.01,139,0.01,True,True,0.2833333333333334
2693566,val/01242_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ilexia_intractata/248e5858-2790-4bb2-b370-b5a6cbc383be.jpg,59,59,0.1666666666666666,58,0.03,56,0.0233333333333333,60,0.0166666666666666,105,0.0133333333333333,True,True,0.1366666666666666
2738204,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/aa38a26e-d2aa-420c-8742-324a85e7e868.jpg,150,150,0.1533333333333333,161,0.0633333333333333,148,0.0566666666666666,152,0.0533333333333333,164,0.0466666666666666,True,True,0.09
2717969,val/07576_Plantae_Tracheophyta_Magnoliopsida_Celastrales_Celastraceae_Canotia_holacantha/d799070e-acaa-43f9-a272-f2fc3b7d162e.jpg,372,372,0.1466666666666666,491,0.0433333333333333,474,0.0333333333333333,492,0.02,394,0.02,True,True,0.1033333333333333
2749771,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/399172c6-aacd-4415-b938-469637f79cdd.jpg,150,150,0.14,161,0.05,152,0.0466666666666666,164,0.0433333333333333,151,0.04,True,True,0.09000000000000001
2692528,val/02866_Animalia_Chordata_Actinopterygii_Perciformes_Pomacentridae_Abudefduf_vaigiensis/bc560786-8f06-471e-ade7-506c57ff355d.jpg,136,136,0.1266666666666666,210,0.0333333333333333,48,0.0266666666666666,195,0.02,200,0.0166666666666666,True,True,0.0933333333333333
2700929,val/07576_Plantae_Tracheophyta_Magnoliopsida_Celastrales_Celastraceae_Canotia_holacantha/238d1ea3-cd6c-48eb-b324-7e4abaee35e6.jpg,372,372,0.1233333333333333,474,0.0566666666666666,279,0.0433333333333333,394,0.03,491,0.03,True,True,0.0666666666666667
2732037,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/98e445ba-6b87-4fcd-8d0f-d77d5ed6631f.jpg,150,150,0.1166666666666666,164,0.05,151,0.04,148,0.0333333333333333,216,0.0266666666666666,True,True,0.0666666666666666
2723372,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/6be86a16-e3d7-448c-8fc8-7610d0de0751.jpg,147,147,0.11,146,0.09,179,0.0733333333333333,178,0.0733333333333333,180,0.0566666666666666,True,True,0.020000000000000004
2706590,val/01242_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Ilexia_intractata/0592d060-2807-401b-8cde-594960004eeb.jpg,59,59,0.1033333333333333,60,0.0266666666666666,58,0.02,18,0.0166666666666666,225,0.0166666666666666,True,True,0.0766666666666667
