sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2711252,val/09818_Plantae_Tracheophyta_Pinopsida_Pinales_Pinaceae_Pinus_contorta/6a4732ab-0d20-43d6-b536-82bd4071af15.jpg,491,305,2064.465576171875,449,1274.518798828125,175,845.439453125,383,815.45751953125,198,715.251220703125,False,False,789.94677734375
2782695,val/04089_Animalia_Chordata_Aves_Passeriformes_Parulidae_Vermivora_chrysoptera/3cc0df4f-ca7d-495a-ae4d-688a09d44bd3.jpg,192,142,1273.220703125,116,501.791259765625,190,439.27734375,44,327.613525390625,189,245.78955078125,False,False,771.429443359375
2710885,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/5d224229-b7ea-4586-ac4a-2dc2a44d4b4d.jpg,147,52,1246.0576171875,83,926.805908203125,111,665.379150390625,128,506.74853515625,176,398.011474609375,False,False,319.251708984375
2747088,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/c540c2dd-42a8-44e8-aa68-61b5e3ab9ca4.jpg,146,61,1170.831787109375,62,1040.921875,114,849.03369140625,154,697.271484375,179,681.551025390625,False,False,129.909912109375
2775922,val/03014_Animalia_Chordata_Amphibia_Anura_Pelodryadidae_Litoria_fallax/d07a5b8c-0a3e-4910-8764-f53ab7fc73c3.jpg,142,73,1094.6611328125,112,392.509521484375,80,370.033935546875,146,-48.149658203125,43,-65.63916015625,False,False,702.151611328125
2781067,val/01335_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Ancyloxypha_numitor/fbc2f124-b5e6-4bd4-8017-553218c129f8.jpg,63,122,1077.373046875,205,1011.337646484375,199,829.791748046875,20,670.224853515625,71,514.676513671875,False,False,66.035400390625
2784794,val/03938_Animalia_Chordata_Aves_Passeriformes_Meliphagidae_Ptilotula_penicillata/cbc77e00-aea1-4785-b5a1-693077f260fd.jpg,183,146,1056.367919921875,147,943.216064453125,172,487.9375,178,469.609130859375,177,129.18017578125,False,False,113.15185546875
2723656,val/04073_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_dominica/6dc8a315-981d-4848-a33d-602354bb951a.jpg,190,238,1010.450927734375,205,474.616455078125,18,208.629638671875,207,109.470947265625,198,108.9345703125,False,False,535.83447265625
2725083,val/03938_Animalia_Chordata_Aves_Passeriformes_Meliphagidae_Ptilotula_penicillata/1ce903dd-437a-424b-8224-6bcbbcd7cc0d.jpg,183,142,933.130126953125,192,648.798095703125,166,639.0068359375,205,611.47998046875,44,390.112548828125,False,False,284.33203125
2698016,val/04073_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_dominica/7fe93095-d8a5-47ef-9d67-00aeb9d7a5ad.jpg,190,305,904.48193359375,310,379.398193359375,282,322.090576171875,215,247.5166015625,360,224.866943359375,False,False,525.083740234375
2695503,val/03868_Animalia_Chordata_Aves_Passeriformes_Icteridae_Agelaius_tricolor/9d81c410-b5de-406c-a5ea-1a581b2510fa.jpg,181,185,889.366455078125,254,642.558837890625,180,205.49609375,110,-82.403564453125,135,-150.75048828125,False,False,246.8076171875
2689105,val/00457_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Exaireta_spinigera/2ae3e79e-cce0-45e1-835c-1ecfb4ae9748.jpg,19,173,859.901611328125,195,383.55859375,210,333.50537109375,170,312.7841796875,250,189.9296875,False,False,476.343017578125
