sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2747088,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/c540c2dd-42a8-44e8-aa68-61b5e3ab9ca4.jpg,146,146,10.392059326171877,62,8.202255249023438,179,7.237030029296875,54,5.014862060546875,111,3.2086181640625,True,True,2.1898040771484393
2733379,val/07173_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Myosotis_scorpioides/cc719b2b-5b39-486a-81e1-1bc889143f94.jpg,346,346,1.8316574096679688,331,-1.270965576171875,435,-1.4902877807617188,341,-1.5702400207519531,429,-1.8886375427246087,True,True,3.1026229858398438
2735339,val/00747_Animalia_Arthropoda_Insecta_Hymenoptera_Formicidae_Camponotus_novaeboracensis/205df368-86eb-46e6-b675-608c8d2d8ec7.jpg,38,38,0.8488426208496094,92,-3.7661519050598153,80,-4.9486236572265625,252,-5.160253047943115,0,-7.292819976806641,True,True,4.614994525909425
2778227,val/02369_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_cyathigerum/27bf10a5-5bc1-47c5-99b9-454ea0a7c472.jpg,117,117,-1.1023788452148438,0,-2.722412109375,252,-4.298798561096191,70,-4.345363616943359,44,-4.551563262939453,True,True,1.6200332641601562
2729802,val/00370_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_femorata/c8ec1b45-bcc0-43ae-ab35-97b317ddf611.jpg,15,15,-1.4995651245117188,38,-2.828916549682617,25,-3.844907760620117,118,-3.8698654174804688,252,-4.000432014465332,True,True,1.3293514251708984
2688591,val/02246_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Cydia_latiferreana/440f1bb0-f033-4f04-b579-76ec2e20a4e0.jpg,110,110,-1.5621795654296875,46,-1.7148818969726562,137,-3.174253463745117,98,-3.2771224975585938,47,-4.154264450073242,True,True,0.15270233154296875
2758906,val/08226_Plantae_Tracheophyta_Magnoliopsida_Garryales_Garryaceae_Garrya_elliptica/a7a8b107-6a8c-4352-aaa0-0fb05d79ec82.jpg,405,405,-1.5920991897583008,317,-3.783493995666504,471,-4.0893402099609375,252,-4.303826332092285,389,-5.206393241882324,True,True,2.191394805908203
2742595,val/05916_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Muscari_neglectum/d48fcb54-c134-4da6-a9c7-628041f3b038.jpg,286,286,-2.022510528564453,314,-3.4831409454345703,405,-3.709855079650879,282,-3.93545150756836,421,-4.612545013427734,True,True,1.4606304168701172
2772880,val/05277_Animalia_Mollusca_Gastropoda_Neogastropoda_Buccinidae_Buccinum_undatum/aed0bfd3-1946-4c74-9050-549a98317852.jpg,252,252,-2.548102617263794,92,-7.62829065322876,130,-10.04237937927246,127,-14.102766036987305,137,-16.608997344970703,True,True,5.080188035964966
2703625,val/05277_Animalia_Mollusca_Gastropoda_Neogastropoda_Buccinidae_Buccinum_undatum/8ac1c319-1707-49f5-b462-71763de6e56c.jpg,252,252,-2.8725860118865967,405,-9.291814804077148,92,-9.689594268798828,389,-12.241318702697754,130,-12.306355476379396,True,True,6.419228792190552
2700186,val/08226_Plantae_Tracheophyta_Magnoliopsida_Garryales_Garryaceae_Garrya_elliptica/fdb0dd7b-7a14-45a1-b79a-c6f4117b8379.jpg,405,405,-2.8930039405822754,393,-4.059694290161133,471,-4.064634323120117,314,-4.341073989868164,317,-4.446417808532715,True,True,1.1666903495788574
2784611,val/02773_Animalia_Chordata_Actinopterygii_Cypriniformes_Cyprinidae_Squalius_cephalus/d810e413-4ce5-43e4-bd00-a6c1e4f7c3cd.jpg,130,130,-2.932950019836426,252,-3.657727241516113,181,-5.698356628417969,212,-7.947849273681641,147,-9.686904907226562,True,True,0.7247772216796871
