sample_id,image_path,true_label,pred_1,score_1,pred_2,score_2,pred_3,score_3,pred_4,score_4,pred_5,score_5,top1_correct,top5_correct,score_margin
2723372,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/6be86a16-e3d7-448c-8fc8-7610d0de0751.jpg,147,147,-5.84228515625,177,-5.98797607421875,146,-20.5284423828125,179,-39.99493408203125,111,-41.02581787109375,True,True,0.14569091796875
2786379,val/05477_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Agaricaceae_Chlorophyllum_molybdites/9bd107be-7871-420e-8b4b-63186d562217.jpg,265,265,-13.735443115234377,266,-40.46282958984375,264,-72.82321166992188,273,-86.4278564453125,268,-151.9683837890625,True,True,26.727386474609375
2739832,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/40757630-4729-47a7-92b5-448172a19fc7.jpg,146,146,-17.16925048828125,19,-50.73272705078125,111,-84.78677368164062,150,-128.01290893554688,156,-132.4384765625,True,True,33.5634765625
2769557,val/01649_Animalia_Arthropoda_Insecta_Lepidoptera_Noctuidae_Lithacodia_musta/736207a6-733f-480e-8c5e-45c9c0174715.jpg,81,81,-30.65341186523437,110,-67.16229248046875,52,-97.53054809570312,98,-110.93408203125,50,-131.631103515625,True,True,36.508880615234375
2688591,val/02246_Animalia_Arthropoda_Insecta_Lepidoptera_Tortricidae_Cydia_latiferreana/440f1bb0-f033-4f04-b579-76ec2e20a4e0.jpg,110,110,-31.795654296875,112,-59.90744018554688,52,-80.54397583007812,81,-103.51565551757812,98,-104.55999755859376,True,True,28.111785888671882
2768466,val/00924_Animalia_Arthropoda_Insecta_Lepidoptera_Crambidae_Perispasta_caeculalis/1aed01ca-5b29-407c-955d-236985b92d2a.jpg,46,46,-37.6055908203125,52,-40.4891357421875,110,-44.1749267578125,109,-51.320068359375,98,-68.71624755859375,True,True,2.883544921875
2761183,val/04293_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_cooperi/92acbcd3-d977-4feb-9b80-727e8762a093.jpg,203,203,-47.674407958984375,130,-55.432373046875,146,-56.279296875,204,-61.12298583984375,111,-61.2711181640625,True,True,7.757965087890625
2732037,val/03258_Animalia_Chordata_Aves_Anseriformes_Anatidae_Melanitta_perspicillata/98e445ba-6b87-4fcd-8d0f-d77d5ed6631f.jpg,150,150,-61.24533081054688,203,-165.0263671875,146,-172.49209594726562,159,-172.93173217773438,204,-175.383544921875,True,True,103.78103637695312
2761835,val/01314_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Tetracis_cachexiata/78872430-a38e-4b3d-a807-cd4f8154211a.jpg,61,61,-73.01712036132812,273,-102.14935302734376,62,-132.18930053710938,265,-148.97332763671875,219,-196.5311889648437,True,True,29.13223266601564
2784478,val/01167_Animalia_Arthropoda_Insecta_Lepidoptera_Geometridae_Chlorochlamys_chloroleucaria/e6dd079e-3458-41f9-90f7-c4a18c29aceb.jpg,56,56,-73.65969848632812,110,-76.20892333984375,111,-98.318359375,58,-103.68572998046876,112,-106.32730102539062,True,True,2.549224853515625
2705018,val/01047_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Hypena_bijugalis/22cdee14-4286-4f46-9c63-20e664063c2c.jpg,52,52,-80.88253784179688,112,-92.8603515625,50,-110.44662475585938,85,-114.23992919921876,56,-115.20892333984376,True,True,11.977813720703125
2707792,val/00568_Animalia_Arthropoda_Insecta_Hemiptera_Coreidae_Leptoglossus_occidentalis/e2dbb37b-f969-466c-8002-19a56f49ef03.jpg,27,27,-84.56997680664062,111,-121.82791137695312,177,-136.49850463867188,164,-167.30264282226562,227,-173.16616821289062,True,True,37.2579345703125
