class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
268,273,Roridomyces austrororidus,Hericium americanum,5,0,5
136,138,Abudefduf vaigiensis,Paralabrax clathratus,0,5,5
16,22,Euphoria kernii,Eristalis transversa,4,0,4
20,22,Copestylum mexicanum,Eristalis transversa,4,0,4
139,219,Plotosus lineatus,Ginglymostoma cirratum,4,0,4
136,219,Abudefduf vaigiensis,Ginglymostoma cirratum,3,1,4
150,151,Melanitta perspicillata,Mergellus albellus,1,3,4
273,274,Hericium americanum,Xylobolus frustulatus,1,3,4
409,410,Ajuga genevensis,Ajuga reptans,1,3,4
433,453,Magnolia tripetala,Anemonastrum canadense,1,3,4
279,319,Ephedra trifurca,Ambrosia salsola,0,4,4
279,474,Ephedra trifurca,Bursera microphylla,0,4,4
356,357,Echinocereus stramineus,Escobaria vivipara,0,4,4
0,273,Araneus diadematus,Hericium americanum,3,0,3
133,219,Eupetrichthys angustipes,Ginglymostoma cirratum,3,0,3
144,273,Aneides aeneus,Hericium americanum,3,0,3
156,162,Charadrius wilsonia,Larus cachinnans,3,0,3
255,268,Phidiana hiltoni,Roridomyces austrororidus,3,0,3
286,409,Muscari neglectum,Ajuga genevensis,3,0,3
291,360,Dactylorhiza fuchsii,Silene flos-cuculi,3,0,3
299,453,Lilium bulbiferum,Anemonastrum canadense,3,0,3
322,390,Cirsium texanum,Phlox drummondii,3,0,3
335,470,Polymnia canadensis,Laportea canadensis,3,0,3
345,426,Myosotis latifolia,Veronica filiformis,3,0,3
346,426,Myosotis scorpioides,Veronica filiformis,3,0,3
349,499,Cardamine impatiens,Phegopteris hexagonoptera,3,0,3
391,431,Phlox longifolia,Glandularia bipinnatifida,3,0,3
393,451,Acacia confusa,Actaea racemosa,3,0,3
419,444,Castilleja purpurea,Malva assurgentiflora,3,0,3
437,470,Manihot esculenta,Laportea canadensis,3,0,3
