class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
380,488,Arctostaphylos glauca,Taxodium distichum,7,0,7
274,355,Xylobolus frustulatus,Echinocereus pectinatus,6,0,6
387,488,Leptecophylla juniperina,Taxodium distichum,6,0,6
423,488,Erythranthe cardinalis,Taxodium distichum,6,0,6
431,488,Glandularia bipinnatifida,Taxodium distichum,6,0,6
301,355,Trillium nivale,Echinocereus pectinatus,5,1,6
187,488,Poecile rufescens,Taxodium distichum,5,0,5
202,488,Thraupis episcopus,Taxodium distichum,5,0,5
205,488,Empidonax hammondii,Taxodium distichum,5,0,5
210,488,Cochlearius cochlearius,Taxodium distichum,5,0,5
269,488,Chalciporus piperatus,Taxodium distichum,5,0,5
273,355,Hericium americanum,Echinocereus pectinatus,5,0,5
283,488,Asparagus acutifolius,Taxodium distichum,5,0,5
298,488,Fritillaria recurva,Taxodium distichum,5,0,5
316,488,Schefflera actinophylla,Taxodium distichum,5,0,5
341,488,Tithonia tubaeformis,Taxodium distichum,5,0,5
348,488,Cardamine hirsuta,Taxodium distichum,5,0,5
351,488,Pseudowintera colorata,Taxodium distichum,5,0,5
362,488,Montia parvifolia,Taxodium distichum,5,0,5
386,488,Kalmia procumbens,Taxodium distichum,5,0,5
391,488,Phlox longifolia,Taxodium distichum,5,0,5
394,488,Acacia longifolia,Taxodium distichum,5,0,5
427,488,Buddleja davidii,Taxodium distichum,5,0,5
448,488,Banksia integrifolia,Taxodium distichum,5,0,5
449,488,Leucadendron laureolum,Taxodium distichum,5,0,5
461,488,Eriobotrya japonica,Taxodium distichum,5,0,5
325,396,Eupatorium altissimum,Melilotus albus,2,3,5
428,440,Verbascum nigrum,Salix cinerea,0,5,5
488,489,Taxodium distichum,Taxodium mucronatum,0,5,5
137,355,Aplodinotus grunniens,Echinocereus pectinatus,4,0,4
