file_name,true_class_index,pred_class_index,correct,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top5_correct,true_rank,true_species,pred_1_species,pred_2_species,pred_3_species,pred_4_species,pred_5_species
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/26c8c412-fab8-4278-85f4-0d64bcd6c05a.jpg,0,120,0,120,87,0,393,16,0.087890625,0.08514404296875,0.0657958984375,0.0215301513671875,0.0171356201171875,1,3,Cross Orbweaver,Dragonhunter,Silver Emperor,Cross Orbweaver,Taiwan Acacia,Kern's Flower Scarab
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/9a79514c-36d8-425f-8a58-71755d9ec4c0.jpg,3,127,0,127,3,14,120,91,0.230224609375,0.1326904296875,0.044281005859375,0.036712646484375,0.02825927734375,1,2,Johnson's Jumping Spider,New Zealand Half Crab,Johnson's Jumping Spider,Woodland Dor Beetle,Dragonhunter,Mourning Cloak
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/b76aa04d-4e5c-441a-ae9a-29860df80cba.jpg,5,6,0,6,5,91,498,349,0.52685546875,0.36474609375,0.003131866455078125,0.002185821533203125,0.0021610260009765625,1,2,Eastern Bark Centipede,Giant Desert Centipede,Eastern Bark Centipede,Mourning Cloak,ladder fern,narrow-leaved bittercress
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/f83219d5-c595-4865-bc31-ba4666cf6d85.jpg,5,6,0,6,5,91,102,22,0.483154296875,0.373291015625,0.003261566162109375,0.0025501251220703125,0.0020732879638671875,1,2,Eastern Bark Centipede,Giant Desert Centipede,Eastern Bark Centipede,Mourning Cloak,Buck Moth,Transverse-banded Flower Fly
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/fbbddbd3-f585-464d-b6c7-28ce404c57cf.jpg,5,239,0,239,5,247,108,49,0.5712890625,0.12744140625,0.045074462890625,0.033111572265625,0.0135345458984375,1,2,Eastern Bark Centipede,Eastern Milksnake,Eastern Bark Centipede,Western Rattlesnake,Pine Hawk-Moth,Deduced Graphic
val/00159_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Scolopendra_heros/5cc763d5-3480-4b6c-9aab-0531740bae74.jpg,6,5,0,5,6,498,12,22,0.451171875,0.404541015625,0.0026454925537109375,0.0019283294677734375,0.0018873214721679688,1,2,Giant Desert Centipede,Eastern Bark Centipede,Giant Desert Centipede,ladder fern,Hadda Beetle,Transverse-banded Flower Fly
val/00184_Animalia_Arthropoda_Insecta_Coleoptera_Buprestidae_Agrilus_planipennis/1b267612-120e-4df1-aa90-f78eb9f4ae64.jpg,7,215,0,215,468,7,402,398,0.1983642578125,0.1612548828125,0.118896484375,0.09857177734375,0.069091796875,1,3,Emerald Ash Borer,Eastern Screech-Owl,American elm,Emerald Ash Borer,swamp chestnut oak,black locust
val/00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus/17e62b64-ddca-4a1e-91d8-1cba36c311be.jpg,8,9,0,9,15,8,318,29,0.317626953125,0.2149658203125,0.06207275390625,0.02337646484375,0.0169677734375,1,3,Goldenrod Soldier Beetle,Spotted Longhorn,Oedemera femorata,Goldenrod Soldier Beetle,common yarrow,European Striped Shield Bug
val/00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus/b75e1f46-2ca1-4d28-b821-ac49996bd386.jpg,8,321,0,321,334,438,22,8,0.291015625,0.0933837890625,0.057525634765625,0.04693603515625,0.02813720703125,1,5,Goldenrod Soldier Beetle,tickseed beggar-ticks,Great Plains Ragwort,Klamath weed,Transverse-banded Flower Fly,Goldenrod Soldier Beetle
val/00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata/b2a11dc8-7434-4b08-9aa5-2134ebececac.jpg,9,8,0,8,9,15,29,312,0.208740234375,0.1929931640625,0.07244873046875,0.056854248046875,0.031646728515625,1,2,Spotted Longhorn,Goldenrod Soldier Beetle,Spotted Longhorn,Oedemera femorata,European Striped Shield Bug,Broad-leaved Chervil
val/00260_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Trichocnemis_spiculatus/cdfc87e4-00d3-419d-90be-f5e0b17d0adc.jpg,10,19,0,19,10,30,17,25,0.322509765625,0.2081298828125,0.194091796875,0.0290679931640625,0.02496337890625,1,2,Spined Woodborer,Garden soldier fly,Spined Woodborer,Brown Marmorated Stink Bug,Oriental Beetle,Florida Leaf-footed Bug
val/00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta/6e2c087a-ada3-4ae9-9bef-8c06c474c454.jpg,11,12,0,12,35,11,31,38,0.19482421875,0.07281494140625,0.06756591796875,0.062255859375,0.0357666015625,1,3,False Potato Beetle,Hadda Beetle,Elm Sawfly,False Potato Beetle,Southern Green Stink Bug,New York Carpenter Ant
val/00290_Animalia_Arthropoda_Insecta_Coleoptera_Chrysomelidae_Leptinotarsa_juncta/cc458e2c-841f-47ef-8c81-96b4dd4be8f8.jpg,11,31,0,31,432,175,443,11,0.24072265625,0.04266357421875,0.031463623046875,0.027862548828125,0.02508544921875,1,5,False Potato Beetle,Southern Green Stink Bug,common pawpaw,Double-barred Finch,velvetleaf,False Potato Beetle
val/00326_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Henosepilachna_vigintioctopunctata/73a12d10-8d47-4898-886f-60564fa3b5d2.jpg,12,13,0,13,12,29,22,11,0.487060546875,0.28857421875,0.0120086669921875,0.00931549072265625,0.007411956787109375,1,2,Hadda Beetle,22-spot Ladybird Beetle,Hadda Beetle,European Striped Shield Bug,Transverse-banded Flower Fly,False Potato Beetle
val/00370_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_femorata/221620e7-3cb8-4e12-899e-ce1f1da4a78c.jpg,15,8,0,8,328,39,15,20,0.2213134765625,0.1251220703125,0.12274169921875,0.05841064453125,0.03802490234375,1,4,Oedemera femorata,Goldenrod Soldier Beetle,Bitterweed,Pure Green Sweat Bee,Oedemera femorata,Mexican Cactus Fly
val/00370_Animalia_Arthropoda_Insecta_Coleoptera_Oedemeridae_Oedemera_femorata/4d533de9-54be-4b01-a407-4c89ece3497b.jpg,15,318,0,318,15,9,325,467,0.3447265625,0.10028076171875,0.08514404296875,0.059661865234375,0.015655517578125,1,2,Oedemera femorata,common yarrow,Oedemera femorata,Spotted Longhorn,tall boneset,Rubus schmidelioides
val/00384_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_kernii/b767c420-4809-4d3f-a1a8-c01f9825fc94.jpg,16,32,0,32,16,20,22,40,0.29736328125,0.281494140625,0.06280517578125,0.02874755859375,0.0215301513671875,1,2,Kern's Flower Scarab,Jagged Ambush Bug,Kern's Flower Scarab,Mexican Cactus Fly,Transverse-banded Flower Fly,Metallic Epauletted-Sweat Bee
val/00386_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Exomala_orientalis/f42b16c2-a0a6-4d95-8171-7581b63e90c5.jpg,17,19,0,19,17,20,30,31,0.353271484375,0.12445068359375,0.11553955078125,0.038848876953125,0.0325927734375,1,2,Oriental Beetle,Garden soldier fly,Oriental Beetle,Mexican Cactus Fly,Brown Marmorated Stink Bug,Southern Green Stink Bug
val/00386_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Exomala_orientalis/c95430ed-958b-4171-98e7-8b4fea859c34.jpg,17,14,0,14,17,365,305,454,0.3056640625,0.041717529296875,0.0292205810546875,0.0156402587890625,0.01218414306640625,1,2,Oriental Beetle,Woodland Dor Beetle,Oriental Beetle,skeleton weed,common three-square,common columbine
val/00457_Animalia_Arthropoda_Insecta_Diptera_Stratiomyidae_Exaireta_spinigera/7d9bd16e-2b28-48b4-8b5f-8ac55b7cee64.jpg,19,31,0,31,93,19,18,111,0.198974609375,0.11651611328125,0.093994140625,0.0218963623046875,0.019927978515625,1,3,Garden soldier fly,Southern Green Stink Bug,Dainty Swallowtail,Garden soldier fly,Blue Blowfly,Bidens Borer Moth
val/00461_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Copestylum_mexicanum/3d47fff4-b85d-450e-8d01-19410dcc6ae7.jpg,20,22,0,22,20,21,341,32,0.307861328125,0.21484375,0.11505126953125,0.047393798828125,0.0277557373046875,1,2,Mexican Cactus Fly,Transverse-banded Flower Fly,Mexican Cactus Fly,Yellow-shouldered Drone Fly,tree marigold,Jagged Ambush Bug
val/00472_Animalia_Arthropoda_Insecta_Diptera_Syrphidae_Eristalis_transversa/ea6a1722-9a0c-4b5f-8467-046966a47510.jpg,22,20,0,20,22,34,39,40,0.351318359375,0.2322998046875,0.051605224609375,0.0235443115234375,0.0195159912109375,1,2,Transverse-banded Flower Fly,Mexican Cactus Fly,Transverse-banded Flower Fly,Southern Carpenter Bee,Pure Green Sweat Bee,Metallic Epauletted-Sweat Bee
val/00626_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Halyomorpha_halys/005b6194-47aa-4262-82f9-34182f888257.jpg,30,26,0,26,30,1,120,25,0.1123046875,0.11102294921875,0.0304718017578125,0.0280609130859375,0.0231781005859375,1,2,Brown Marmorated Stink Bug,Western Leaf-footed Bug,Brown Marmorated Stink Bug,Golden Silk Spider,Dragonhunter,Florida Leaf-footed Bug
val/00626_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Halyomorpha_halys/f95d2733-0da6-4b94-a0d5-da721c621b77.jpg,30,91,0,91,30,448,402,250,0.396728515625,0.04608154296875,0.03057861328125,0.0239105224609375,0.0168304443359375,1,2,Brown Marmorated Stink Bug,Mourning Cloak,Brown Marmorated Stink Bug,Coastal Banksia,swamp chestnut oak,Nuttall's Cockle
val/00630_Animalia_Arthropoda_Insecta_Hemiptera_Pentatomidae_Nezara_viridula/83fbfc52-8fde-48dc-8add-0659b3629959.jpg,31,8,0,8,125,31,15,11,0.373046875,0.0921630859375,0.0309906005859375,0.0221405029296875,0.0165252685546875,1,3,Southern Green Stink Bug,Goldenrod Soldier Beetle,Long-winged Conehead,Southern Green Stink Bug,Oedemera femorata,False Potato Beetle
val/00651_Animalia_Arthropoda_Insecta_Hemiptera_Reduviidae_Phymata_americana/fed1d8d5-9726-47e2-a502-e9eff5900728.jpg,32,22,0,22,21,32,8,39,0.54345703125,0.149169921875,0.113037109375,0.0241546630859375,0.0231475830078125,1,3,Jagged Ambush Bug,Transverse-banded Flower Fly,Yellow-shouldered Drone Fly,Jagged Ambush Bug,Goldenrod Soldier Beetle,Pure Green Sweat Bee
val/00651_Animalia_Arthropoda_Insecta_Hemiptera_Reduviidae_Phymata_americana/9492c1f3-db74-4eaf-9f3e-a00e31af71a7.jpg,32,16,0,16,32,34,9,291,0.4814453125,0.4453125,0.01158905029296875,0.0043487548828125,0.0027103424072265625,1,2,Jagged Ambush Bug,Kern's Flower Scarab,Jagged Ambush Bug,Southern Carpenter Bee,Spotted Longhorn,Common Spotted Orchid
