method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
ImageNet-pretrained ConvNeXt-Tiny with MixUp,209,208,5,Zosterops palpebrosus (Indian White-eye),Zosterops japonicus (Warbling White-eye),1,1,Zosteropidae,Zosteropidae,val/04352_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_palpebrosus/7ec5632d-497f-474b-bf51-fc8a1c58c82e.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,162,163,4,Larus cachinnans (Caspian Gull),Larus glaucescens (Glaucous-winged Gull),1,1,Laridae,Laridae,val/03410_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_cachinnans/05f47de1-88d2-413f-9eec-4a16fb49cd5a.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,245,241,4,Pseudaspis cana (Mole Snake),Zamenis longissimus (Aesculapian Snake),0,0,Lamprophiidae,Colubridae,val/05028_Animalia_Chordata_Reptilia_Squamata_Lamprophiidae_Pseudaspis_cana/3c0bbb38-7559-4f9e-af2e-3fcac194cc41.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,77,76,3,Icaricia icarioides (Boisduval's Blue),Cyaniris semiargus (Mazarine Blue),0,1,Lycaenidae,Lycaenidae,val/01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides/618648e3-2e4d-4078-ae97-4ead69ebb532.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,160,162,3,Chroicocephalus hartlaubii (Hartlaub's Gull),Larus cachinnans (Caspian Gull),0,1,Laridae,Laridae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/54467c3b-2eb8-44e8-888c-fcea9024c37b.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,217,216,3,Phalacrocorax penicillatus (Brandt's Cormorant),Phalacrocorax pelagicus (Pelagic Cormorant),1,1,Phalacrocoracidae,Phalacrocoracidae,val/04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus/560068d1-fd87-4d2a-b047-675bf7839987.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,234,235,3,Caiman crocodilus (Common Caiman),Crocodylus moreletii (Belize Crocodile),0,0,Alligatoridae,Crocodylidae,val/04860_Animalia_Chordata_Reptilia_Crocodylia_Alligatoridae_Caiman_crocodilus/6621fd9a-c156-4e95-a28c-fcd258075938.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,247,248,3,Crotalus oreganus (Western Rattlesnake),Sistrurus catenatus (Massasauga),0,1,Viperidae,Viperidae,val/05118_Animalia_Chordata_Reptilia_Squamata_Viperidae_Crotalus_oreganus/78844d60-25da-4e38-9deb-f44659f13ecd.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,345,346,3,Myosotis latifolia (broadleaf forget-me-not),Myosotis scorpioides (water forget-me-not),1,1,Boraginaceae,Boraginaceae,val/07172_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Myosotis_latifolia/dbc5aee2-248f-4da5-b40d-e1cb40da19d3.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,407,463,3,Coprosma dumosa,Prunus fasciculata (desert almond),0,0,Rubiaceae,Rosaceae,val/08325_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Rubiaceae_Coprosma_dumosa/023a4fd2-2960-4149-9e77-5aa06289aabd.jpg
ImageNet-pretrained ConvNeXt-Tiny with MixUp,414,343,3,Salvia columbariae (chia),Jasione montana (Sheep's-bit),0,0,Lamiaceae,Campanulaceae,val/08486_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_columbariae/bf9d2ae0-0e5b-48ea-8f1d-b3b13bd416f5.jpg
