class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
0,9,Araneus diadematus,Cross Orbweaver,Araneidae,Araneus,0.9,0.9,0.9,10,0.9
1,45,Trichonephila clavipes,Golden Silk Spider,Araneidae,Trichonephila,0.9,0.9,0.9,10,0.9
2,70,Dolomedes triton,Six-spotted Fishing Spider,Pisauridae,Dolomedes,1.0,1.0,1.0,10,1.0
3,94,Phidippus johnsoni,Johnson's Jumping Spider,Salticidae,Phidippus,0.9,0.9,0.9,10,0.9
4,152,Paravaejovis puritanus,Paravaejovis puritanus,Vaejovidae,Paravaejovis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
5,157,Hemiscolopendra marginata,Eastern Bark Centipede,Scolopendridae,Hemiscolopendra,0.875,0.7,0.7777777777777778,10,0.7
6,159,Scolopendra heros,Giant Desert Centipede,Scolopendridae,Scolopendra,0.8181818181818182,0.9,0.8571428571428571,10,0.9
7,184,Agrilus planipennis,Emerald Ash Borer,Buprestidae,Agrilus,0.6923076923076923,0.9,0.782608695652174,10,0.9
8,193,Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Cantharidae,Chauliognathus,0.7272727272727273,0.8,0.7619047619047619,10,0.8
9,251,Rutpela maculata,Spotted Longhorn,Cerambycidae,Rutpela,0.9,0.9,0.9,10,0.9
10,260,Trichocnemis spiculatus,Spined Woodborer,Cerambycidae,Trichocnemis,0.9,0.9,0.9,10,0.9
11,290,Leptinotarsa juncta,False Potato Beetle,Chrysomelidae,Leptinotarsa,1.0,0.8,0.8888888888888888,10,0.8
12,326,Henosepilachna vigintioctopunctata,Hadda Beetle,Coccinellidae,Henosepilachna,0.9,0.9,0.9,10,0.9
13,332,Psyllobora vigintiduopunctata,22-spot Ladybird Beetle,Coccinellidae,Psyllobora,0.9090909090909091,1.0,0.9523809523809523,10,1.0
14,351,Anoplotrupes stercorosus,Woodland Dor Beetle,Geotrupidae,Anoplotrupes,0.8333333333333334,1.0,0.9090909090909091,10,1.0
15,370,Oedemera femorata,Oedemera femorata,Oedemeridae,Oedemera,1.0,0.7,0.8235294117647058,10,0.7
16,384,Euphoria kernii,Kern's Flower Scarab,Scarabaeidae,Euphoria,1.0,1.0,1.0,10,1.0
17,386,Exomala orientalis,Oriental Beetle,Scarabaeidae,Exomala,1.0,0.8,0.8888888888888888,10,0.8
18,435,Calliphora vicina,Blue Blowfly,Calliphoridae,Calliphora,1.0,1.0,1.0,10,1.0
19,457,Exaireta spinigera,Garden soldier fly,Stratiomyidae,Exaireta,0.75,0.9,0.8181818181818182,10,0.9
20,461,Copestylum mexicanum,Mexican Cactus Fly,Syrphidae,Copestylum,0.8181818181818182,0.9,0.8571428571428571,10,0.9
21,470,Eristalis stipator,Yellow-shouldered Drone Fly,Syrphidae,Eristalis,1.0,0.9,0.9473684210526315,10,0.9
22,472,Eristalis transversa,Transverse-banded Flower Fly,Syrphidae,Eristalis,0.9,0.9,0.9,10,0.9
23,493,Toxomerus politus,Maize Calligrapher Fly,Syrphidae,Toxomerus,1.0,1.0,1.0,10,1.0
24,513,Adelges tsugae,Hemlock Woolly Adelgid,Adelgidae,Adelges,0.8333333333333334,1.0,0.9090909090909091,10,1.0
25,558,Acanthocephala femorata,Florida Leaf-footed Bug,Coreidae,Acanthocephala,0.9090909090909091,1.0,0.9523809523809523,10,1.0
26,567,Leptoglossus clypealis,Western Leaf-footed Bug,Coreidae,Leptoglossus,1.0,1.0,1.0,10,1.0
27,568,Leptoglossus occidentalis,Western Conifer Seed Bug,Coreidae,Leptoglossus,1.0,1.0,1.0,10,1.0
28,597,Adelphocoris lineolatus,Alfalfa Plant Bug,Miridae,Adelphocoris,1.0,1.0,1.0,10,1.0
29,624,Graphosoma italicum,European Striped Shield Bug,Pentatomidae,Graphosoma,1.0,1.0,1.0,10,1.0
30,626,Halyomorpha halys,Brown Marmorated Stink Bug,Pentatomidae,Halyomorpha,0.8888888888888888,0.8,0.8421052631578947,10,0.8
31,630,Nezara viridula,Southern Green Stink Bug,Pentatomidae,Nezara,0.6428571428571429,0.9,0.75,10,0.9
32,651,Phymata americana,Jagged Ambush Bug,Reduviidae,Phymata,0.8888888888888888,0.8,0.8421052631578947,10,0.8
33,671,Andrena cineraria,Ashy Mining Bee,Andrenidae,Andrena,0.8333333333333334,1.0,0.9090909090909091,10,1.0
34,711,Xylocopa micans,Southern Carpenter Bee,Apidae,Xylocopa,1.0,0.9,0.9473684210526315,10,0.9
35,718,Cimbex americanus,Elm Sawfly,Cimbicidae,Cimbex,0.8,0.8,0.8,10,0.8
36,727,Amphibolips confluenta,Spongy Oak Apple Gall Wasp,Cynipidae,Amphibolips,0.9,0.9,0.9,10,0.9
37,743,Camponotus floridanus,Florida Carpenter Ant,Formicidae,Camponotus,0.8181818181818182,0.9,0.8571428571428571,10,0.9
38,747,Camponotus novaeboracensis,New York Carpenter Ant,Formicidae,Camponotus,0.9,0.9,0.9,10,0.9
39,774,Augochlora pura,Pure Green Sweat Bee,Halictidae,Augochlora,0.8,0.8,0.8,10,0.8
40,775,Augochloropsis metallica,Metallic Epauletted-Sweat Bee,Halictidae,Augochloropsis,0.8888888888888888,0.8,0.8421052631578947,10,0.8
41,799,Ammophila procera,Common Thread-waisted Wasp,Sphecidae,Ammophila,1.0,0.9,0.9473684210526315,10,0.9
42,819,Mischocyttarus flavitarsis,Western Paper Wasp,Vespidae,Mischocyttarus,0.9090909090909091,1.0,0.9523809523809523,10,1.0
43,858,Achyra rantalis,Garden Webworm Moth,Crambidae,Achyra,0.75,0.9,0.8181818181818182,10,0.9
44,859,Agriphila straminella,Pearl Veneer,Crambidae,Agriphila,0.875,0.7,0.7777777777777778,10,0.7
45,921,Parapoynx diminutalis,Hydrilla Leafcutter Moth,Crambidae,Parapoynx,1.0,1.0,1.0,10,1.0
46,924,Perispasta caeculalis,Titian Peale's Crambid,Crambidae,Perispasta,1.0,1.0,1.0,10,1.0
47,937,Pyrausta volupialis,Volupial Pyrausta Moth,Crambidae,Pyrausta,1.0,0.9,0.9473684210526315,10,0.9
48,949,Urola nivalis,Snowy Urola Moth,Crambidae,Urola,0.9090909090909091,1.0,0.9523809523809523,10,1.0
49,987,Bulia deducta,Deduced Graphic,Erebidae,Bulia,1.0,0.9,0.9473684210526315,10,0.9
50,997,Catocala grynea,Woody Underwing,Erebidae,Catocala,1.0,0.9,0.9473684210526315,10,0.9
51,998,Catocala ilia,Ilia Underwing,Erebidae,Catocala,1.0,1.0,1.0,10,1.0
52,1047,Hypena bijugalis,Dimorphic Bomolocha Moth,Erebidae,Hypena,1.0,0.9,0.9473684210526315,10,0.9
53,1076,Melipotis acontioides,Royal Poinciana Moth,Erebidae,Melipotis,0.9090909090909091,1.0,0.9523809523809523,10,1.0
54,1103,Pantydia sparsa,Pantydia sparsa,Erebidae,Pantydia,0.75,0.9,0.8181818181818182,10,0.9
55,1164,Chiasmia clathrata,Latticed Heath,Geometridae,Chiasmia,1.0,1.0,1.0,10,1.0
56,1167,Chlorochlamys chloroleucaria,Blackberry Looper,Geometridae,Chlorochlamys,1.0,0.9,0.9473684210526315,10,0.9
57,1176,Colotois pennaria,Feathered Thorn,Geometridae,Colotois,1.0,1.0,1.0,10,1.0
58,1233,Idaea aversata,Riband Wave,Geometridae,Idaea,0.9090909090909091,1.0,0.9523809523809523,10,1.0
59,1242,Ilexia intractata,Black-dotted Ruddy Moth,Geometridae,Ilexia,0.9090909090909091,1.0,0.9523809523809523,10,1.0
60,1297,Probole amicaria,Alien Probole Moth,Geometridae,Probole,0.9090909090909091,1.0,0.9523809523809523,10,1.0
61,1314,Tetracis cachexiata,White Slant-line,Geometridae,Tetracis,1.0,1.0,1.0,10,1.0
62,1315,Tetracis crocallata,Yellow Slant-line,Geometridae,Tetracis,1.0,1.0,1.0,10,1.0
63,1335,Ancyloxypha numitor,Least Skipper,Hesperiidae,Ancyloxypha,0.8181818181818182,0.9,0.8571428571428571,10,0.9
64,1346,Burnsius philetas,Desert Checkered-Skipper,Hesperiidae,Burnsius,1.0,1.0,1.0,10,1.0
65,1362,Erynnis juvenalis,Juvenal's Duskywing,Hesperiidae,Erynnis,1.0,0.8,0.8888888888888888,10,0.8
66,1374,Iambrix salsala,Chestnut Bob,Hesperiidae,Iambrix,1.0,1.0,1.0,10,1.0
67,1376,Lerodea eufala,Eufala Skipper,Hesperiidae,Lerodea,1.0,0.7,0.8235294117647058,10,0.7
