method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
Validation-selected ResNet50/ConvNeXt ensemble,469,Ulmus pumila (Siberian elm),Ulmaceae,Ulmus,10,2,0.2,468,Ulmus americana (American elm),2
Validation-selected ResNet50/ConvNeXt ensemble,402,Quercus michauxii (swamp chestnut oak),Fagaceae,Quercus,10,3,0.3,433,Magnolia tripetala (umbrella magnolia),2
Validation-selected ResNet50/ConvNeXt ensemble,187,Poecile rufescens (Chestnut-backed Chickadee),Paridae,Poecile,10,3,0.3,348,Cardamine hirsuta (hairy bittercress),1
Validation-selected ResNet50/ConvNeXt ensemble,312,Chaerophyllum aromaticum (Broad-leaved Chervil),Apiaceae,Chaerophyllum,10,3,0.3,306,Paspalum dilatatum (Dallis grass),1
Validation-selected ResNet50/ConvNeXt ensemble,459,Morus indica (Korean mulberry),Moraceae,Morus,10,4,0.4,470,Laportea canadensis (Canadian wood nettle),2
Validation-selected ResNet50/ConvNeXt ensemble,466,Rubus bifrons (Himalayan-berry),Rosaceae,Rubus,10,4,0.4,470,Laportea canadensis (Canadian wood nettle),2
Validation-selected ResNet50/ConvNeXt ensemble,489,Taxodium mucronatum (Montezuma cypress),Cupressaceae,Taxodium,10,4,0.4,488,Taxodium distichum (baldcypress),2
Validation-selected ResNet50/ConvNeXt ensemble,441,Salix nigra (black willow),Salicaceae,Salix,10,4,0.4,82,Maliattha synochitis (Black-dotted Maliattha),1
Validation-selected ResNet50/ConvNeXt ensemble,160,Chroicocephalus hartlaubii (Hartlaub's Gull),Laridae,Chroicocephalus,10,5,0.5,162,Larus cachinnans (Caspian Gull),3
Validation-selected ResNet50/ConvNeXt ensemble,407,Coprosma dumosa,Rubiaceae,Coprosma,10,5,0.5,463,Prunus fasciculata (desert almond),3
Validation-selected ResNet50/ConvNeXt ensemble,68,Lon melane (Umber Skipper),Hesperiidae,Lon,10,5,0.5,69,Polites mystic (Long Dash Skipper),2
Validation-selected ResNet50/ConvNeXt ensemble,192,Vermivora chrysoptera (Golden-winged Warbler),Parulidae,Vermivora,10,5,0.5,170,Pheucticus chrysopeplus (Yellow Grosbeak),2
Validation-selected ResNet50/ConvNeXt ensemble,247,Crotalus oreganus (Western Rattlesnake),Viperidae,Crotalus,10,5,0.5,248,Sistrurus catenatus (Massasauga),2
Validation-selected ResNet50/ConvNeXt ensemble,283,Asparagus acutifolius (Spiny Asparagus),Asparagaceae,Asparagus,10,5,0.5,387,Leptecophylla juniperina (Prickly mingimingi),2
Validation-selected ResNet50/ConvNeXt ensemble,306,Paspalum dilatatum (Dallis grass),Poaceae,Paspalum,10,5,0.5,309,Stenotaphrum secundatum (Saint Augustine grass),2
Validation-selected ResNet50/ConvNeXt ensemble,281,Allium cernuum (nodding onion),Amaryllidaceae,Allium,10,5,0.5,392,Androsace septentrionalis (pygmy-flower rock-jasmine),1
Validation-selected ResNet50/ConvNeXt ensemble,307,Poa annua (Annual Meadow-grass),Poaceae,Poa,10,5,0.5,436,Euphorbia ophthalmica (Florida Hammock Sandmat),1
Validation-selected ResNet50/ConvNeXt ensemble,317,Ilex opaca (American holly),Aquifoliaceae,Ilex,10,5,0.5,475,Acer campestre (field maple),1
Validation-selected ResNet50/ConvNeXt ensemble,336,Senecio glastifolius (Woad-leaved ragwort),Asteraceae,Senecio,10,5,0.5,330,Leucanthemum vulgare (oxeye daisy),1
Validation-selected ResNet50/ConvNeXt ensemble,339,Sonchus asper (prickly sowthistle),Asteraceae,Sonchus,10,5,0.5,443,Abutilon theophrasti (velvetleaf),1
Validation-selected ResNet50/ConvNeXt ensemble,362,Montia parvifolia (Small-leaved Blinks),Montiaceae,Montia,10,5,0.5,370,Pterostegia drymarioides (woodland pterostegia),1
Validation-selected ResNet50/ConvNeXt ensemble,395,Cytisus scoparius (Scotch Broom),Fabaceae,Cytisus,10,5,0.5,194,Centronyx henslowii (Henslow's Sparrow),1
Validation-selected ResNet50/ConvNeXt ensemble,398,Robinia pseudoacacia (black locust),Fabaceae,Robinia,10,5,0.5,402,Quercus michauxii (swamp chestnut oak),1
Validation-selected ResNet50/ConvNeXt ensemble,440,Salix cinerea (Grey Willow),Salicaceae,Salix,10,5,0.5,439,Salix bebbiana (bebb's willow),1
Validation-selected ResNet50/ConvNeXt ensemble,464,Prunus pumila (sand cherry),Rosaceae,Prunus,10,5,0.5,318,Achillea millefolium (common yarrow),1
Validation-selected ResNet50/ConvNeXt ensemble,473,Toxicodendron rydbergii (poison ivy),Anacardiaceae,Toxicodendron,10,5,0.5,359,Honckenya peploides (Sea Sandwort),1
Validation-selected ResNet50/ConvNeXt ensemble,209,Zosterops palpebrosus (Indian White-eye),Zosteropidae,Zosterops,10,6,0.6,208,Zosterops japonicus (Warbling White-eye),4
Validation-selected ResNet50/ConvNeXt ensemble,77,Icaricia icarioides (Boisduval's Blue),Lycaenidae,Icaricia,10,6,0.6,76,Cyaniris semiargus (Mazarine Blue),3
