class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
150,151,Melanitta perspicillata,Mergellus albellus,2,4,6
156,159,Charadrius wilsonia,Haematopus palliatus,3,1,4
381,419,Calluna vulgaris,Castilleja purpurea,2,2,4
150,216,Melanitta perspicillata,Phalacrocorax pelagicus,0,4,4
58,59,Idaea aversata,Ilexia intractata,3,0,3
149,150,Cygnus olor,Melanitta perspicillata,3,0,3
262,463,Teloschistes flavicans,Prunus fasciculata,3,0,3
46,50,Perispasta caeculalis,Catocala grynea,2,1,3
152,164,Mergus merganser,Numenius madagascariensis,2,1,3
381,382,Calluna vulgaris,Ceratiola ericoides,1,2,3
150,159,Melanitta perspicillata,Haematopus palliatus,0,3,3
150,164,Melanitta perspicillata,Numenius madagascariensis,0,3,3
372,383,Canotia holacantha,Dracophyllum longifolium,0,3,3
5,48,Hemiscolopendra marginata,Urola nivalis,2,0,2
9,150,Rutpela maculata,Melanitta perspicillata,2,0,2
12,91,Henosepilachna vigintioctopunctata,Nymphalis antiopa,2,0,2
21,79,Eristalis stipator,Satyrium titus,2,0,2
27,150,Leptoglossus occidentalis,Melanitta perspicillata,2,0,2
36,256,Amphibolips confluenta,Phyllidia varicosa,2,0,2
43,112,Achyra rantalis,Platynota rostrana,2,0,2
47,164,Pyrausta volupialis,Numenius madagascariensis,2,0,2
48,136,Urola nivalis,Abudefduf vaigiensis,2,0,2
50,52,Catocala grynea,Hypena bijugalis,2,0,2
56,149,Chlorochlamys chloroleucaria,Cygnus olor,2,0,2
59,190,Ilexia intractata,Setophaga dominica,2,0,2
60,148,Probole amicaria,Anas georgica,2,0,2
67,468,Lerodea eufala,Ulmus americana,2,0,2
73,204,Anthene emolus,Contopus sordidulus,2,0,2
79,86,Satyrium titus,Brenthis ino,2,0,2
86,89,Brenthis ino,Euphydryas phaeton,2,0,2
