class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
269,355,Chalciporus piperatus,Echinocereus pectinatus,4,0,4
338,411,Solidago rugosa,Melissa officinalis,1,3,4
67,493,Lerodea eufala,Gleichenia dicarpa,3,0,3
91,493,Nymphalis antiopa,Gleichenia dicarpa,3,0,3
296,338,Spiranthes lacera,Solidago rugosa,3,0,3
319,338,Ambrosia salsola,Solidago rugosa,3,0,3
320,434,Artemisia vulgaris,Acalypha rhomboidea,3,0,3
335,493,Polymnia canadensis,Gleichenia dicarpa,3,0,3
391,419,Phlox longifolia,Castilleja purpurea,3,0,3
467,493,Rubus schmidelioides,Gleichenia dicarpa,3,0,3
12,109,Henosepilachna vigintioctopunctata,Argyrotaenia velutinana,2,1,3
166,203,Patagioenas flavirostris,Contopus cooperi,2,1,3
381,382,Calluna vulgaris,Ceratiola ericoides,2,1,3
381,419,Calluna vulgaris,Castilleja purpurea,2,1,3
151,227,Mergellus albellus,Phocarctos hookeri,1,2,3
287,316,Asphodelus ramosus,Schefflera actinophylla,1,2,3
270,302,Turbinellus floccosus,Trillium undulatum,0,3,3
312,348,Chaerophyllum aromaticum,Cardamine hirsuta,0,3,3
312,352,Chaerophyllum aromaticum,Dysphania ambrosioides,0,3,3
338,340,Solidago rugosa,Taraxacum officinale,0,3,3
338,438,Solidago rugosa,Hypericum perforatum,0,3,3
338,476,Solidago rugosa,Aesculus pavia,0,3,3
371,372,Rumex hymenosepalus,Canotia holacantha,0,3,3
2,49,Dolomedes triton,Bulia deducta,2,0,2
8,493,Chauliognathus pensylvanicus,Gleichenia dicarpa,2,0,2
17,49,Exomala orientalis,Bulia deducta,2,0,2
18,133,Calliphora vicina,Eupetrichthys angustipes,2,0,2
23,101,Toxomerus politus,Anisota senatoria,2,0,2
25,403,Acanthocephala femorata,Quercus phellos,2,0,2
26,116,Leptoglossus clypealis,Calopteryx maculata,2,0,2
