method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
HOG + SVM,372,371,4,Canotia holacantha (crucifixion thorn),Rumex hymenosepalus (canaigre dock),0,0,Celastraceae,Polygonaceae,val/07576_Plantae_Tracheophyta_Magnoliopsida_Celastrales_Celastraceae_Canotia_holacantha/238d1ea3-cd6c-48eb-b324-7e4abaee35e6.jpg
HOG + SVM,133,384,3,Eupetrichthys angustipes (Snakeskin Wrasse),Erica coccinea (Red Heath),0,0,Labridae,Ericaceae,val/02836_Animalia_Chordata_Actinopterygii_Perciformes_Labridae_Eupetrichthys_angustipes/dd85fa89-d5c2-479f-90ee-8512478d1b94.jpg
HOG + SVM,263,338,3,Umbilicaria mammulata (Smooth Rock Tripe),Solidago rugosa (common wrinkle-leaved goldenrod),0,0,Umbilicariaceae,Asteraceae,val/05445_Fungi_Ascomycota_Lecanoromycetes_Umbilicariales_Umbilicariaceae_Umbilicaria_mammulata/ee5ccd81-62a8-4582-902b-268697efbe0b.jpg
HOG + SVM,302,270,3,Trillium undulatum (painted trillium),Turbinellus floccosus (Scaly Chanterelle),0,0,Melanthiaceae,Gomphaceae,val/06206_Plantae_Tracheophyta_Liliopsida_Liliales_Melanthiaceae_Trillium_undulatum/2ebedfb2-68c6-4a12-b6a6-6e6bce2c9707.jpg
HOG + SVM,320,434,3,Artemisia vulgaris (common mugwort),Acalypha rhomboidea (common copperleaf),0,0,Asteraceae,Euphorbiaceae,val/06639_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Artemisia_vulgaris/b029c043-effe-4167-b195-80e6d9e10e19.jpg
HOG + SVM,337,382,3,Silphium terebinthinaceum (prairie dock),Ceratiola ericoides (sand heath),0,0,Asteraceae,Ericaceae,val/06990_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Silphium_terebinthinaceum/a1d22900-f876-4c6b-aee1-21ed08be04a2.jpg
HOG + SVM,377,411,3,Symphoricarpos occidentalis (Western Snowberry),Melissa officinalis (lemon balm),0,0,Caprifoliaceae,Lamiaceae,val/07663_Plantae_Tracheophyta_Magnoliopsida_Dipsacales_Caprifoliaceae_Symphoricarpos_occidentalis/cea6479e-9ba4-4a57-9679-a01be326c0ac.jpg
HOG + SVM,391,419,3,Phlox longifolia (longleaf phlox),Castilleja purpurea (Purple paintbrush),0,0,Polemoniaceae,Orobanchaceae,val/07832_Plantae_Tracheophyta_Magnoliopsida_Ericales_Polemoniaceae_Phlox_longifolia/c448526e-c48a-4c2c-8ffc-775e3b712dc1.jpg
HOG + SVM,438,338,3,Hypericum perforatum (Klamath weed),Solidago rugosa (common wrinkle-leaved goldenrod),0,0,Hypericaceae,Asteraceae,val/08834_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Hypericaceae_Hypericum_perforatum/d069acb3-fc38-49f3-978f-440daae8f996.jpg
HOG + SVM,477,410,3,Crassula ovata (jade plant),Ajuga reptans (carpet bugle),0,0,Crassulaceae,Lamiaceae,val/09597_Plantae_Tracheophyta_Magnoliopsida_Saxifragales_Crassulaceae_Crassula_ovata/9004842e-6c1d-4bb8-9d24-364e30f66b9b.jpg
HOG + SVM,480,403,3,Tolmiea menziesii (youth on age),Quercus phellos (willow oak),0,0,Saxifragaceae,Fagaceae,val/09674_Plantae_Tracheophyta_Magnoliopsida_Saxifragales_Saxifragaceae_Tolmiea_menziesii/6f9f693b-e35a-4d1c-9700-fe37afd64562.jpg
HOG + SVM,482,210,3,Ipomoea obscura (Obscure Morning Glory),Cochlearius cochlearius (Boat-billed Heron),0,0,Convolvulaceae,Ardeidae,val/09702_Plantae_Tracheophyta_Magnoliopsida_Solanales_Convolvulaceae_Ipomoea_obscura/9f26432f-0207-4ba4-a744-8a90cee0c792.jpg
HOG + SVM,2,49,2,Dolomedes triton (Six-spotted Fishing Spider),Bulia deducta (Deduced Graphic),0,0,Pisauridae,Erebidae,val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/1d74a0bb-db5a-42ad-b800-aec6f6135cea.jpg
HOG + SVM,8,493,2,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),Gleichenia dicarpa (tangle fern),0,0,Cantharidae,Gleicheniaceae,val/00193_Animalia_Arthropoda_Insecta_Coleoptera_Cantharidae_Chauliognathus_pensylvanicus/ea84e3c0-9041-4eaa-bdda-fd8e02898496.jpg
HOG + SVM,12,109,2,Henosepilachna vigintioctopunctata (Hadda Beetle),Argyrotaenia velutinana (Red-banded Leafroller),0,0,Coccinellidae,Tortricidae,val/00326_Animalia_Arthropoda_Insecta_Coleoptera_Coccinellidae_Henosepilachna_vigintioctopunctata/b06a53c0-1dc9-4565-b137-e85f9ca01a9a.jpg
HOG + SVM,16,21,2,Euphoria kernii (Kern's Flower Scarab),Eristalis stipator (Yellow-shouldered Drone Fly),0,0,Scarabaeidae,Syrphidae,val/00384_Animalia_Arthropoda_Insecta_Coleoptera_Scarabaeidae_Euphoria_kernii/01689499-5abc-4c43-b3f6-d084747a5815.jpg
