method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
HOG + SVM,133,Eupetrichthys angustipes (Snakeskin Wrasse),Labridae,Eupetrichthys,10,0,0.0,384,Erica coccinea (Red Heath),3
HOG + SVM,263,Umbilicaria mammulata (Smooth Rock Tripe),Umbilicariaceae,Umbilicaria,10,0,0.0,338,Solidago rugosa (common wrinkle-leaved goldenrod),3
HOG + SVM,302,Trillium undulatum (painted trillium),Melanthiaceae,Trillium,10,0,0.0,270,Turbinellus floccosus (Scaly Chanterelle),3
HOG + SVM,320,Artemisia vulgaris (common mugwort),Asteraceae,Artemisia,10,0,0.0,434,Acalypha rhomboidea (common copperleaf),3
HOG + SVM,337,Silphium terebinthinaceum (prairie dock),Asteraceae,Silphium,10,0,0.0,382,Ceratiola ericoides (sand heath),3
HOG + SVM,377,Symphoricarpos occidentalis (Western Snowberry),Caprifoliaceae,Symphoricarpos,10,0,0.0,411,Melissa officinalis (lemon balm),3
HOG + SVM,391,Phlox longifolia (longleaf phlox),Polemoniaceae,Phlox,10,0,0.0,419,Castilleja purpurea (Purple paintbrush),3
HOG + SVM,438,Hypericum perforatum (Klamath weed),Hypericaceae,Hypericum,10,0,0.0,338,Solidago rugosa (common wrinkle-leaved goldenrod),3
HOG + SVM,477,Crassula ovata (jade plant),Crassulaceae,Crassula,10,0,0.0,410,Ajuga reptans (carpet bugle),3
HOG + SVM,482,Ipomoea obscura (Obscure Morning Glory),Convolvulaceae,Ipomoea,10,0,0.0,210,Cochlearius cochlearius (Boat-billed Heron),3
HOG + SVM,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),Cantharidae,Chauliognathus,10,0,0.0,493,Gleichenia dicarpa (tangle fern),2
HOG + SVM,12,Henosepilachna vigintioctopunctata (Hadda Beetle),Coccinellidae,Henosepilachna,10,0,0.0,109,Argyrotaenia velutinana (Red-banded Leafroller),2
HOG + SVM,16,Euphoria kernii (Kern's Flower Scarab),Scarabaeidae,Euphoria,10,0,0.0,21,Eristalis stipator (Yellow-shouldered Drone Fly),2
HOG + SVM,17,Exomala orientalis (Oriental Beetle),Scarabaeidae,Exomala,10,0,0.0,49,Bulia deducta (Deduced Graphic),2
HOG + SVM,18,Calliphora vicina (Blue Blowfly),Calliphoridae,Calliphora,10,0,0.0,170,Pheucticus chrysopeplus (Yellow Grosbeak),2
HOG + SVM,23,Toxomerus politus (Maize Calligrapher Fly),Syrphidae,Toxomerus,10,0,0.0,72,Euclea incisa (Green Oak-Slug Moth),2
HOG + SVM,25,Acanthocephala femorata (Florida Leaf-footed Bug),Coreidae,Acanthocephala,10,0,0.0,403,Quercus phellos (willow oak),2
HOG + SVM,31,Nezara viridula (Southern Green Stink Bug),Pentatomidae,Nezara,10,0,0.0,81,Lithacodia musta (Small Mossy Lithacodia),2
HOG + SVM,36,Amphibolips confluenta (Spongy Oak Apple Gall Wasp),Cynipidae,Amphibolips,10,0,0.0,266,Amanita rubescens (blusher),2
HOG + SVM,39,Augochlora pura (Pure Green Sweat Bee),Halictidae,Augochlora,10,0,0.0,406,Frasera caroliniensis (American columbo),2
