class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
2,252,Dolomedes triton,Buccinum undatum,10,0,10
5,252,Hemiscolopendra marginata,Buccinum undatum,10,0,10
6,252,Scolopendra heros,Buccinum undatum,10,0,10
9,252,Rutpela maculata,Buccinum undatum,10,0,10
16,252,Euphoria kernii,Buccinum undatum,10,0,10
19,252,Exaireta spinigera,Buccinum undatum,10,0,10
25,252,Acanthocephala femorata,Buccinum undatum,10,0,10
39,252,Augochlora pura,Buccinum undatum,10,0,10
42,252,Mischocyttarus flavitarsis,Buccinum undatum,10,0,10
49,252,Bulia deducta,Buccinum undatum,10,0,10
51,252,Catocala ilia,Buccinum undatum,10,0,10
55,252,Chiasmia clathrata,Buccinum undatum,10,0,10
60,252,Probole amicaria,Buccinum undatum,10,0,10
61,252,Tetracis cachexiata,Buccinum undatum,10,0,10
69,252,Polites mystic,Buccinum undatum,10,0,10
71,252,Urbanus dorantes,Buccinum undatum,10,0,10
77,252,Icaricia icarioides,Buccinum undatum,10,0,10
80,252,Autographa californica,Buccinum undatum,10,0,10
87,252,Doxocopa laure,Buccinum undatum,10,0,10
92,252,Smyrna blomfildia,Buccinum undatum,10,0,10
95,252,Eurema daira,Buccinum undatum,10,0,10
100,252,Melanis pixe,Buccinum undatum,10,0,10
104,252,Saturnia pyri,Buccinum undatum,10,0,10
106,252,Hippotion scrofa,Buccinum undatum,10,0,10
128,252,Pimephales notatus,Buccinum undatum,10,0,10
131,252,Lepomis auritus,Buccinum undatum,10,0,10
133,252,Eupetrichthys angustipes,Buccinum undatum,10,0,10
134,252,Parupeneus spilurus,Buccinum undatum,10,0,10
137,252,Aplodinotus grunniens,Buccinum undatum,10,0,10
141,252,Pristimantis achatinus,Buccinum undatum,10,0,10
