class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
0,9,Araneus diadematus,Cross Orbweaver,Araneidae,Araneus,0.75,0.6,0.6666666666666666,10,0.6
1,45,Trichonephila clavipes,Golden Silk Spider,Araneidae,Trichonephila,0.5,0.4,0.4444444444444444,10,0.4
2,70,Dolomedes triton,Six-spotted Fishing Spider,Pisauridae,Dolomedes,0.6666666666666666,0.6,0.631578947368421,10,0.6
3,94,Phidippus johnsoni,Johnson's Jumping Spider,Salticidae,Phidippus,1.0,0.5,0.6666666666666666,10,0.5
4,152,Paravaejovis puritanus,Paravaejovis puritanus,Vaejovidae,Paravaejovis,0.7272727272727273,0.8,0.7619047619047619,10,0.8
5,157,Hemiscolopendra marginata,Eastern Bark Centipede,Scolopendridae,Hemiscolopendra,0.5384615384615384,0.7,0.6086956521739131,10,0.7
6,159,Scolopendra heros,Giant Desert Centipede,Scolopendridae,Scolopendra,0.8571428571428571,0.6,0.7058823529411765,10,0.6
7,184,Agrilus planipennis,Emerald Ash Borer,Buprestidae,Agrilus,0.6,0.6,0.6,10,0.6
8,193,Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Cantharidae,Chauliognathus,0.5714285714285714,0.4,0.47058823529411764,10,0.4
9,251,Rutpela maculata,Spotted Longhorn,Cerambycidae,Rutpela,0.8888888888888888,0.8,0.8421052631578947,10,0.8
10,260,Trichocnemis spiculatus,Spined Woodborer,Cerambycidae,Trichocnemis,0.5333333333333333,0.8,0.64,10,0.8
11,290,Leptinotarsa juncta,False Potato Beetle,Chrysomelidae,Leptinotarsa,0.8888888888888888,0.8,0.8421052631578947,10,0.8
12,326,Henosepilachna vigintioctopunctata,Hadda Beetle,Coccinellidae,Henosepilachna,0.75,0.9,0.8181818181818182,10,0.9
13,332,Psyllobora vigintiduopunctata,22-spot Ladybird Beetle,Coccinellidae,Psyllobora,0.7692307692307693,1.0,0.8695652173913043,10,1.0
14,351,Anoplotrupes stercorosus,Woodland Dor Beetle,Geotrupidae,Anoplotrupes,0.9090909090909091,1.0,0.9523809523809523,10,1.0
15,370,Oedemera femorata,Oedemera femorata,Oedemeridae,Oedemera,0.625,0.5,0.5555555555555556,10,0.5
16,384,Euphoria kernii,Kern's Flower Scarab,Scarabaeidae,Euphoria,0.6666666666666666,0.6,0.631578947368421,10,0.6
17,386,Exomala orientalis,Oriental Beetle,Scarabaeidae,Exomala,0.7142857142857143,0.5,0.5882352941176471,10,0.5
18,435,Calliphora vicina,Blue Blowfly,Calliphoridae,Calliphora,0.9,0.9,0.9,10,0.9
