file_name,true_class_index,pred_class_index,correct,pred_1,pred_2,pred_3,pred_4,pred_5,score_1,score_2,score_3,score_4,score_5,top5_correct,true_rank,true_species,pred_1_species,pred_2_species,pred_3_species,pred_4_species,pred_5_species
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/80d4621f-113e-410b-a1b1-807f144e76b6.jpg,0,27,0,27,42,0,37,1,0.76123046875,0.0771484375,0.03631591796875,0.0289459228515625,0.01026153564453125,1,3,Cross Orbweaver,Western Conifer Seed Bug,Western Paper Wasp,Cross Orbweaver,Florida Carpenter Ant,Golden Silk Spider
val/00009_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Araneus_diadematus/a7579753-4405-4c4a-8b9e-85cb8e93c847.jpg,0,1,0,1,0,42,195,207,0.19677734375,0.1297607421875,0.040191650390625,0.033233642578125,0.027313232421875,1,2,Cross Orbweaver,Golden Silk Spider,Cross Orbweaver,Western Paper Wasp,Eastern Towhee,Ash-throated Flycatcher
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/7eb6b54f-72d7-4789-843c-b6ffab5f7ee8.jpg,1,2,0,2,1,120,116,282,0.05712890625,0.04791259765625,0.047637939453125,0.03857421875,0.037200927734375,1,2,Golden Silk Spider,Six-spotted Fishing Spider,Golden Silk Spider,Dragonhunter,Ebony Jewelwing,spring spiderlily
val/00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes/b93706c7-8406-4f61-9223-9ef6aba4759c.jpg,1,2,0,2,1,119,42,27,0.08905029296875,0.08233642578125,0.061187744140625,0.040924072265625,0.03857421875,1,2,Golden Silk Spider,Six-spotted Fishing Spider,Golden Silk Spider,Eastern Ringtail,Western Paper Wasp,Western Conifer Seed Bug
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/1d74a0bb-db5a-42ad-b800-aec6f6135cea.jpg,2,1,0,1,2,37,27,122,0.2607421875,0.240234375,0.08819580078125,0.05413818359375,0.019561767578125,1,2,Six-spotted Fishing Spider,Golden Silk Spider,Six-spotted Fishing Spider,Florida Carpenter Ant,Western Conifer Seed Bug,Neurothemis taiwanensis
val/00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton/eac6cfcc-125f-4483-a19c-7b0ec971787d.jpg,2,37,0,37,2,122,6,373,0.05560302734375,0.0401611328125,0.032684326171875,0.0267486572265625,0.0255584716796875,1,2,Six-spotted Fishing Spider,Florida Carpenter Ant,Six-spotted Fishing Spider,Neurothemis taiwanensis,Giant Desert Centipede,Stinging Serpent
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/9a79514c-36d8-425f-8a58-71755d9ec4c0.jpg,3,10,0,10,14,29,3,90,0.19580078125,0.08624267578125,0.061767578125,0.052093505859375,0.0367431640625,1,4,Johnson's Jumping Spider,Spined Woodborer,Woodland Dor Beetle,European Striped Shield Bug,Johnson's Jumping Spider,Red-spotted Admiral
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/0e935210-785b-4900-8bcd-d9a719dada15.jpg,3,41,0,41,3,243,38,91,0.1884765625,0.151611328125,0.05517578125,0.0294036865234375,0.02557373046875,1,2,Johnson's Jumping Spider,Common Thread-waisted Wasp,Johnson's Jumping Spider,Texas Coralsnake,New York Carpenter Ant,Mourning Cloak
val/00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni/2d6c8e3b-b8f3-4520-88d6-d538de08cb66.jpg,3,187,0,187,3,27,33,18,0.08837890625,0.07293701171875,0.05865478515625,0.035919189453125,0.035430908203125,1,2,Johnson's Jumping Spider,Chestnut-backed Chickadee,Johnson's Jumping Spider,Western Conifer Seed Bug,Ashy Mining Bee,Blue Blowfly
val/00152_Animalia_Arthropoda_Arachnida_Scorpiones_Vaejovidae_Paravaejovis_puritanus/de540bf6-6efd-4ed9-b971-a32070910af2.jpg,4,237,0,237,4,239,235,5,0.357421875,0.1734619140625,0.034149169921875,0.032318115234375,0.0269012451171875,1,2,Paravaejovis puritanus,Texas Alligator Lizard,Paravaejovis puritanus,Eastern Milksnake,Belize Crocodile,Eastern Bark Centipede
val/00152_Animalia_Arthropoda_Arachnida_Scorpiones_Vaejovidae_Paravaejovis_puritanus/d048306e-e3a6-498a-86f4-552152c95873.jpg,4,27,0,27,4,255,240,38,0.108154296875,0.069580078125,0.060302734375,0.05078125,0.042144775390625,1,2,Paravaejovis puritanus,Western Conifer Seed Bug,Paravaejovis puritanus,Hilton's Aeolid,Flat-headed Snake,New York Carpenter Ant
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/4091a551-6ad8-4cea-bc03-4195c592de62.jpg,5,108,0,108,5,6,247,102,0.46044921875,0.25732421875,0.09197998046875,0.01129913330078125,0.006755828857421875,1,2,Eastern Bark Centipede,Pine Hawk-Moth,Eastern Bark Centipede,Giant Desert Centipede,Western Rattlesnake,Buck Moth
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/bd03202d-2aa5-49eb-bc8e-747bac6c8430.jpg,5,6,0,6,91,5,102,146,0.85546875,0.0517578125,0.030975341796875,0.0181884765625,0.01113128662109375,1,3,Eastern Bark Centipede,Giant Desert Centipede,Mourning Cloak,Eastern Bark Centipede,Buck Moth,Imperial Eagle
val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/2e72eae8-3ded-4a05-98a7-a9f725b6d474.jpg,5,247,0,247,5,4,243,222,0.12255859375,0.12091064453125,0.044097900390625,0.041656494140625,0.029632568359375,1,2,Eastern Bark Centipede,Western Rattlesnake,Eastern Bark Centipede,Paravaejovis puritanus,Texas Coralsnake,White-tailed Deer
val/00159_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Scolopendra_heros/bba39ebe-1c85-470d-9827-deac896e02fa.jpg,6,38,0,38,37,42,257,6,0.180419921875,0.16015625,0.0970458984375,0.026397705078125,0.0240631103515625,1,5,Giant Desert Centipede,New York Carpenter Ant,Florida Carpenter Ant,Western Paper Wasp,Decollate Snail,Giant Desert Centipede
