method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
ImageNet-pretrained ResNet18,188,205,7,Setophaga cerulea (Cerulean Warbler),Empidonax hammondii (Hammond's Flycatcher),0,0,Parulidae,Tyrannidae,val/04068_Animalia_Chordata_Aves_Passeriformes_Parulidae_Setophaga_cerulea/442ca5e7-6dfa-455f-9d2e-486b8b1c8967.jpg
ImageNet-pretrained ResNet18,63,70,6,Ancyloxypha numitor (Least Skipper),Thymelicus lineola (European Skipper),0,1,Hesperiidae,Hesperiidae,val/01335_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Ancyloxypha_numitor/9b0c2e02-bc98-4464-8565-aa079e752dc6.jpg
ImageNet-pretrained ResNet18,76,74,6,Cyaniris semiargus (Mazarine Blue),Catochrysops strabo (Forget-me-not),0,1,Lycaenidae,Lycaenidae,val/01469_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Cyaniris_semiargus/44f2f9ac-0212-4200-8de1-9e4d33f4fb5d.jpg
ImageNet-pretrained ResNet18,118,117,6,Enallagma geminatum (Skimming Bluet),Enallagma cyathigerum (Common Blue Damselfly),1,1,Coenagrionidae,Coenagrionidae,val/02375_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_geminatum/dfee5123-16c4-4628-9bcb-8afd98e61c94.jpg
ImageNet-pretrained ResNet18,341,327,6,Tithonia tubaeformis (tree marigold),Gaillardia aristata (great blanketflower),0,1,Asteraceae,Asteraceae,val/07047_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Tithonia_tubaeformis/93de8571-34d5-451f-a5ee-3ff19628ab6f.jpg
ImageNet-pretrained ResNet18,97,96,5,Pieris brassicae (Large White Butterfly),Glutophrissa drusilla (Florida White),0,1,Pieridae,Pieridae,val/02092_Animalia_Arthropoda_Insecta_Lepidoptera_Pieridae_Pieris_brassicae/8a0ab6d1-fd0a-41e6-ab64-e78444022181.jpg
ImageNet-pretrained ResNet18,141,143,5,Pristimantis achatinus (Cachabi Robber Frog),Rana aurora (Northern Red-legged Frog),0,0,Craugastoridae,Ranidae,val/02973_Animalia_Chordata_Amphibia_Anura_Craugastoridae_Pristimantis_achatinus/46200390-14c0-4cb4-bd26-89d30c864f6f.jpg
ImageNet-pretrained ResNet18,204,205,5,Contopus sordidulus (Western Wood-Pewee),Empidonax hammondii (Hammond's Flycatcher),0,1,Tyrannidae,Tyrannidae,val/04295_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_sordidulus/44b78d0a-42bb-4448-bd39-8fa3174ea12b.jpg
ImageNet-pretrained ResNet18,301,297,5,Trillium nivale (snow trillium),Erythronium oregonum (giant white fawn lily),0,0,Melanthiaceae,Liliaceae,val/06202_Plantae_Tracheophyta_Liliopsida_Liliales_Melanthiaceae_Trillium_nivale/0280b7eb-cd8e-4efe-bf6e-87c43606645e.jpg
ImageNet-pretrained ResNet18,471,311,5,Urtica urens (Dwarf Nettle),Dendrolycopodium obscurum (princess pine),0,0,Urticaceae,Lycopodiaceae,val/09518_Plantae_Tracheophyta_Magnoliopsida_Rosales_Urticaceae_Urtica_urens/4f484712-5cde-46b9-a390-f39dfc31ba13.jpg
