method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
ImageNet-pretrained ResNet18,76,Cyaniris semiargus (Mazarine Blue),Lycaenidae,Cyaniris,10,0,0.0,74,Catochrysops strabo (Forget-me-not),6
ImageNet-pretrained ResNet18,118,Enallagma geminatum (Skimming Bluet),Coenagrionidae,Enallagma,10,0,0.0,117,Enallagma cyathigerum (Common Blue Damselfly),6
ImageNet-pretrained ResNet18,341,Tithonia tubaeformis (tree marigold),Asteraceae,Tithonia,10,0,0.0,327,Gaillardia aristata (great blanketflower),6
ImageNet-pretrained ResNet18,147,Pernis apivorus (European Honey-buzzard),Accipitridae,Pernis,10,0,0.0,146,Aquila heliaca (Imperial Eagle),4
ImageNet-pretrained ResNet18,161,Chroicocephalus ridibundus (Black-headed Gull),Laridae,Chroicocephalus,10,0,0.0,163,Larus glaucescens (Glaucous-winged Gull),4
ImageNet-pretrained ResNet18,209,Zosterops palpebrosus (Indian White-eye),Zosteropidae,Zosterops,10,0,0.0,183,Ptilotula penicillata (White-plumed Honeyeater),4
ImageNet-pretrained ResNet18,290,Cephalanthera rubra (Red Helleborine),Orchidaceae,Cephalanthera,10,0,0.0,484,Solanum elaeagnifolium (White Horse-nettle),4
ImageNet-pretrained ResNet18,332,Nabalus albus (white rattlesnakeroot),Asteraceae,Nabalus,10,0,0.0,412,Monarda punctata (spotted horse mint),4
ImageNet-pretrained ResNet18,334,Packera tampicana (Great Plains Ragwort),Asteraceae,Packera,10,0,0.0,438,Hypericum perforatum (Klamath weed),4
ImageNet-pretrained ResNet18,354,Echinocereus enneacanthus (Strawberry Cactus),Cactaceae,Echinocereus,10,0,0.0,356,Echinocereus stramineus (strawberry hedgehog cactus),4
ImageNet-pretrained ResNet18,390,Phlox drummondii (Drummond's phlox),Polemoniaceae,Phlox,10,0,0.0,357,Escobaria vivipara (viviparous foxtail cactus),4
ImageNet-pretrained ResNet18,410,Ajuga reptans (carpet bugle),Lamiaceae,Ajuga,10,0,0.0,409,Ajuga genevensis (Blue Bugle),4
ImageNet-pretrained ResNet18,415,Stachys palustris (Marsh Woundwort),Lamiaceae,Stachys,10,0,0.0,421,Odontites vulgaris (Red Odontites),4
ImageNet-pretrained ResNet18,434,Acalypha rhomboidea (common copperleaf),Euphorbiaceae,Acalypha,10,0,0.0,437,Manihot esculenta (Cassava),4
ImageNet-pretrained ResNet18,57,Colotois pennaria (Feathered Thorn),Geometridae,Colotois,10,0,0.0,59,Ilexia intractata (Black-dotted Ruddy Moth),3
ImageNet-pretrained ResNet18,120,Hagenius brevistylus (Dragonhunter),Gomphidae,Hagenius,10,0,0.0,124,Schistocerca obscura (Obscure Bird Grasshopper),3
ImageNet-pretrained ResNet18,145,Triturus carnifex (Italian Crested Newt),Salamandridae,Triturus,10,0,0.0,236,Anguis veronensis (Italian Slow Worm),3
ImageNet-pretrained ResNet18,160,Chroicocephalus hartlaubii (Hartlaub's Gull),Laridae,Chroicocephalus,10,0,0.0,162,Larus cachinnans (Caspian Gull),3
ImageNet-pretrained ResNet18,172,Corvus ossifragus (Fish Crow),Corvidae,Corvus,10,0,0.0,216,Phalacrocorax pelagicus (Pelagic Cormorant),3
ImageNet-pretrained ResNet18,211,Nycticorax nycticorax (Black-crowned Night Heron),Ardeidae,Nycticorax,10,0,0.0,163,Larus glaucescens (Glaucous-winged Gull),3
ImageNet-pretrained ResNet18,335,Polymnia canadensis (leafcup),Asteraceae,Polymnia,10,0,0.0,349,Cardamine impatiens (narrow-leaved bittercress),3
ImageNet-pretrained ResNet18,395,Cytisus scoparius (Scotch Broom),Fabaceae,Cytisus,10,0,0.0,383,Dracophyllum longifolium (Inaka),3
ImageNet-pretrained ResNet18,432,Asimina triloba (common pawpaw),Annonaceae,Asimina,10,0,0.0,258,Cepaea hortensis (White-lipped Snail),3
ImageNet-pretrained ResNet18,433,Magnolia tripetala (umbrella magnolia),Magnoliaceae,Magnolia,10,0,0.0,437,Manihot esculenta (Cassava),3
ImageNet-pretrained ResNet18,463,Prunus fasciculata (desert almond),Rosaceae,Prunus,10,0,0.0,24,Adelges tsugae (Hemlock Woolly Adelgid),3
ImageNet-pretrained ResNet18,488,Taxodium distichum (baldcypress),Cupressaceae,Taxodium,10,0,0.0,489,Taxodium mucronatum (Montezuma cypress),3
ImageNet-pretrained ResNet18,9,Rutpela maculata (Spotted Longhorn),Cerambycidae,Rutpela,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),2
ImageNet-pretrained ResNet18,35,Cimbex americanus (Elm Sawfly),Cimbicidae,Cimbex,10,0,0.0,205,Empidonax hammondii (Hammond's Flycatcher),2
ImageNet-pretrained ResNet18,68,Lon melane (Umber Skipper),Hesperiidae,Lon,10,0,0.0,143,Rana aurora (Northern Red-legged Frog),2
ImageNet-pretrained ResNet18,177,Hirundo rustica (Barn Swallow),Hirundinidae,Hirundo,10,0,0.0,176,Loxia curvirostra (Red Crossbill),2
ImageNet-pretrained ResNet18,178,Riparia riparia (Bank Swallow),Hirundinidae,Riparia,10,0,0.0,179,Stelgidopteryx ruficollis (Southern Rough-winged Swallow),2
