epoch,head_lr,backbone_lr,train_loss,train_top1_accuracy,train_seconds,val_loss,val_top1_accuracy,val_top5_accuracy,val_macro_f1,val_seconds
1,0.001,0.0001,3.8025,0.3446,,,0.6388,0.862,0.6275,
2,0.00097577,9.78e-05,2.1646,0.698,,,0.711,0.8996,0.7083,
3,0.00090546,9.141e-05,1.7564,0.8186,,,0.7372,0.9066,0.7363,
4,0.00079653,8.145e-05,1.5221,0.8892,,,0.7562,0.9166,0.7547,
5,0.00065896,6.891e-05,1.3759,0.9333,,,0.7642,0.917,0.7618,
6,0.000505,5.5e-05,1.28,0.9597,,,0.7724,0.9194,0.7711,
7,0.00035104,4.109e-05,1.2189,0.975,,,0.7824,0.925,0.7815,
8,0.00021347,2.855e-05,1.177,0.9818,,,0.783,0.9242,0.7804,
9,0.00010454,1.859e-05,1.1533,0.9859,,,0.7892,0.9258,0.788,
10,3.423e-05,1.22e-05,1.1352,0.9879,,,0.7892,0.9258,0.7877,
