method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
Optimized ImageNet-pretrained ResNet50,469,Ulmus pumila (Siberian elm),Ulmaceae,Ulmus,10,1,0.1,468,Ulmus americana (American elm),3
Optimized ImageNet-pretrained ResNet50,489,Taxodium mucronatum (Montezuma cypress),Cupressaceae,Taxodium,10,2,0.2,488,Taxodium distichum (baldcypress),4
Optimized ImageNet-pretrained ResNet50,161,Chroicocephalus ridibundus (Black-headed Gull),Laridae,Chroicocephalus,10,3,0.3,160,Chroicocephalus hartlaubii (Hartlaub's Gull),3
Optimized ImageNet-pretrained ResNet50,177,Hirundo rustica (Barn Swallow),Hirundinidae,Hirundo,10,3,0.3,169,Passerina ciris (Painted Bunting),1
Optimized ImageNet-pretrained ResNet50,187,Poecile rufescens (Chestnut-backed Chickadee),Paridae,Poecile,10,3,0.3,189,Setophaga citrina (Hooded Warbler),1
Optimized ImageNet-pretrained ResNet50,312,Chaerophyllum aromaticum (Broad-leaved Chervil),Apiaceae,Chaerophyllum,10,3,0.3,467,Rubus schmidelioides,1
Optimized ImageNet-pretrained ResNet50,323,Crepis tectorum (narrow-leaved hawksbeard),Asteraceae,Crepis,10,3,0.3,457,Pulsatilla patens (eastern pasqueflower),1
Optimized ImageNet-pretrained ResNet50,245,Pseudaspis cana (Mole Snake),Lamprophiidae,Pseudaspis,10,4,0.4,241,Zamenis longissimus (Aesculapian Snake),5
Optimized ImageNet-pretrained ResNet50,345,Myosotis latifolia (broadleaf forget-me-not),Boraginaceae,Myosotis,10,4,0.4,346,Myosotis scorpioides (water forget-me-not),4
Optimized ImageNet-pretrained ResNet50,283,Asparagus acutifolius (Spiny Asparagus),Asparagaceae,Asparagus,10,4,0.4,387,Leptecophylla juniperina (Prickly mingimingi),3
Optimized ImageNet-pretrained ResNet50,407,Coprosma dumosa,Rubiaceae,Coprosma,10,4,0.4,463,Prunus fasciculata (desert almond),3
Optimized ImageNet-pretrained ResNet50,425,Veronica americana (American brooklime),Plantaginaceae,Veronica,10,4,0.4,426,Veronica filiformis (Slender speedwell),3
Optimized ImageNet-pretrained ResNet50,440,Salix cinerea (Grey Willow),Salicaceae,Salix,10,4,0.4,439,Salix bebbiana (bebb's willow),3
Optimized ImageNet-pretrained ResNet50,186,Poecile hudsonicus (Boreal Chickadee),Paridae,Poecile,10,4,0.4,187,Poecile rufescens (Chestnut-backed Chickadee),2
Optimized ImageNet-pretrained ResNet50,192,Vermivora chrysoptera (Golden-winged Warbler),Parulidae,Vermivora,10,4,0.4,170,Pheucticus chrysopeplus (Yellow Grosbeak),2
Optimized ImageNet-pretrained ResNet50,247,Crotalus oreganus (Western Rattlesnake),Viperidae,Crotalus,10,4,0.4,248,Sistrurus catenatus (Massasauga),2
Optimized ImageNet-pretrained ResNet50,459,Morus indica (Korean mulberry),Moraceae,Morus,10,4,0.4,470,Laportea canadensis (Canadian wood nettle),2
Optimized ImageNet-pretrained ResNet50,498,Pteris vittata (ladder fern),Pteridaceae,Pteris,10,4,0.4,324,Erigeron sumatrensis (tropical horseweed),2
Optimized ImageNet-pretrained ResNet50,162,Larus cachinnans (Caspian Gull),Laridae,Larus,10,4,0.4,180,Tachycineta thalassina (Violet-green Swallow),1
Optimized ImageNet-pretrained ResNet50,223,Canis lupus (Gray Wolf),Canidae,Canis,10,4,0.4,91,Nymphalis antiopa (Mourning Cloak),1
Optimized ImageNet-pretrained ResNet50,383,Dracophyllum longifolium (Inaka),Ericaceae,Dracophyllum,10,4,0.4,382,Ceratiola ericoides (sand heath),1
Optimized ImageNet-pretrained ResNet50,403,Quercus phellos (willow oak),Fagaceae,Quercus,10,4,0.4,404,Morella californica (California Wax Myrtle),1
Optimized ImageNet-pretrained ResNet50,417,Vitex agnus-castus (Lilac chaste tree),Lamiaceae,Vitex,10,4,0.4,437,Manihot esculenta (Cassava),1
Optimized ImageNet-pretrained ResNet50,441,Salix nigra (black willow),Salicaceae,Salix,10,4,0.4,82,Maliattha synochitis (Black-dotted Maliattha),1
Optimized ImageNet-pretrained ResNet50,464,Prunus pumila (sand cherry),Rosaceae,Prunus,10,4,0.4,465,Prunus spinosa (Blackthorn),1
Optimized ImageNet-pretrained ResNet50,491,Pinus contorta (lodgepole pine),Pinaceae,Pinus,10,4,0.4,492,Pinus ponderosa (ponderosa pine),1
Optimized ImageNet-pretrained ResNet50,160,Chroicocephalus hartlaubii (Hartlaub's Gull),Laridae,Chroicocephalus,10,5,0.5,161,Chroicocephalus ridibundus (Black-headed Gull),3
Optimized ImageNet-pretrained ResNet50,204,Contopus sordidulus (Western Wood-Pewee),Tyrannidae,Contopus,10,5,0.5,203,Contopus cooperi (Olive-sided Flycatcher),3
Optimized ImageNet-pretrained ResNet50,234,Caiman crocodilus (Common Caiman),Alligatoridae,Caiman,10,5,0.5,235,Crocodylus moreletii (Belize Crocodile),3
Optimized ImageNet-pretrained ResNet50,236,Anguis veronensis (Italian Slow Worm),Anguidae,Anguis,10,5,0.5,241,Zamenis longissimus (Aesculapian Snake),3
Optimized ImageNet-pretrained ResNet50,241,Zamenis longissimus (Aesculapian Snake),Colubridae,Zamenis,10,5,0.5,236,Anguis veronensis (Italian Slow Worm),3
Optimized ImageNet-pretrained ResNet50,492,Pinus ponderosa (ponderosa pine),Pinaceae,Pinus,10,5,0.5,491,Pinus contorta (lodgepole pine),3
Optimized ImageNet-pretrained ResNet50,146,Aquila heliaca (Imperial Eagle),Accipitridae,Aquila,10,5,0.5,147,Pernis apivorus (European Honey-buzzard),2
Optimized ImageNet-pretrained ResNet50,155,Charadrius obscurus (Red-breasted Dotterel),Charadriidae,Charadrius,10,5,0.5,156,Charadrius wilsonia (Wilson's Plover),2
Optimized ImageNet-pretrained ResNet50,163,Larus glaucescens (Glaucous-winged Gull),Laridae,Larus,10,5,0.5,160,Chroicocephalus hartlaubii (Hartlaub's Gull),2
Optimized ImageNet-pretrained ResNet50,313,Torilis japonica (upright hedge-parsley),Apiaceae,Torilis,10,5,0.5,312,Chaerophyllum aromaticum (Broad-leaved Chervil),2
Optimized ImageNet-pretrained ResNet50,336,Senecio glastifolius (Woad-leaved ragwort),Asteraceae,Senecio,10,5,0.5,330,Leucanthemum vulgare (oxeye daisy),2
Optimized ImageNet-pretrained ResNet50,366,Fallopia cilinodis (Fringed Bindweed),Polygonaceae,Fallopia,10,5,0.5,459,Morus indica (Korean mulberry),2
Optimized ImageNet-pretrained ResNet50,393,Acacia confusa (Taiwan Acacia),Fabaceae,Acacia,10,5,0.5,403,Quercus phellos (willow oak),2
Optimized ImageNet-pretrained ResNet50,402,Quercus michauxii (swamp chestnut oak),Fagaceae,Quercus,10,5,0.5,433,Magnolia tripetala (umbrella magnolia),2
Optimized ImageNet-pretrained ResNet50,473,Toxicodendron rydbergii (poison ivy),Anacardiaceae,Toxicodendron,10,5,0.5,366,Fallopia cilinodis (Fringed Bindweed),2
Optimized ImageNet-pretrained ResNet50,145,Triturus carnifex (Italian Crested Newt),Salamandridae,Triturus,10,5,0.5,123,Pseudochorthippus curtipennis (Marsh meadow grasshopper),1
Optimized ImageNet-pretrained ResNet50,191,Setophaga ruticilla (American Redstart),Parulidae,Setophaga,10,5,0.5,198,Regulus ignicapilla (Common Firecrest),1
Optimized ImageNet-pretrained ResNet50,207,Myiarchus cinerascens (Ash-throated Flycatcher),Tyrannidae,Myiarchus,10,5,0.5,201,Saltator coerulescens (Grayish Saltator),1
Optimized ImageNet-pretrained ResNet50,214,Dryobates pubescens (Downy Woodpecker),Picidae,Dryobates,10,5,0.5,215,Megascops asio (Eastern Screech-Owl),1
Optimized ImageNet-pretrained ResNet50,215,Megascops asio (Eastern Screech-Owl),Strigidae,Megascops,10,5,0.5,85,Peridea angulosa (Angulose Prominent Moth),1
Optimized ImageNet-pretrained ResNet50,222,Odocoileus virginianus (White-tailed Deer),Cervidae,Odocoileus,10,5,0.5,143,Rana aurora (Northern Red-legged Frog),1
Optimized ImageNet-pretrained ResNet50,281,Allium cernuum (nodding onion),Amaryllidaceae,Allium,10,5,0.5,377,Symphoricarpos occidentalis (Western Snowberry),1
Optimized ImageNet-pretrained ResNet50,292,Goodyera tesselata (checkered rattlesnake plantain),Orchidaceae,Goodyera,10,5,0.5,350,Dithyrea californica (California shieldpod),1
Optimized ImageNet-pretrained ResNet50,303,Smilax glauca (sawbrier),Smilacaceae,Smilax,10,5,0.5,37,Camponotus floridanus (Florida Carpenter Ant),1
Optimized ImageNet-pretrained ResNet50,306,Paspalum dilatatum (Dallis grass),Poaceae,Paspalum,10,5,0.5,334,Packera tampicana (Great Plains Ragwort),1
Optimized ImageNet-pretrained ResNet50,307,Poa annua (Annual Meadow-grass),Poaceae,Poa,10,5,0.5,436,Euphorbia ophthalmica (Florida Hammock Sandmat),1
Optimized ImageNet-pretrained ResNet50,324,Erigeron sumatrensis (tropical horseweed),Asteraceae,Erigeron,10,5,0.5,430,Duranta erecta (golden dewdrop),1
Optimized ImageNet-pretrained ResNet50,339,Sonchus asper (prickly sowthistle),Asteraceae,Sonchus,10,5,0.5,324,Erigeron sumatrensis (tropical horseweed),1
Optimized ImageNet-pretrained ResNet50,375,Coriaria arborea (Tree Tutu),Coriariaceae,Coriaria,10,5,0.5,293,Neottia nidus-avis (bird's-nest orchid),1
Optimized ImageNet-pretrained ResNet50,392,Androsace septentrionalis (pygmy-flower rock-jasmine),Primulaceae,Androsace,10,5,0.5,362,Montia parvifolia (Small-leaved Blinks),1
Optimized ImageNet-pretrained ResNet50,395,Cytisus scoparius (Scotch Broom),Fabaceae,Cytisus,10,5,0.5,78,Leptotes marina (Marine Blue),1
Optimized ImageNet-pretrained ResNet50,398,Robinia pseudoacacia (black locust),Fabaceae,Robinia,10,5,0.5,487,Sequoiadendron giganteum (giant sequoia),1
Optimized ImageNet-pretrained ResNet50,404,Morella californica (California Wax Myrtle),Myricaceae,Morella,10,5,0.5,166,Patagioenas flavirostris (Red-billed Pigeon),1
Optimized ImageNet-pretrained ResNet50,424,Phryma leptostachya (American lopseed),Phrymaceae,Phryma,10,5,0.5,303,Smilax glauca (sawbrier),1
Optimized ImageNet-pretrained ResNet50,427,Buddleja davidii (Butterfly bush),Scrophulariaceae,Buddleja,10,5,0.5,431,Glandularia bipinnatifida (Dakota mock vervain),1
Optimized ImageNet-pretrained ResNet50,447,Aristotelia serrata (Wineberry),Elaeocarpaceae,Aristotelia,10,5,0.5,439,Salix bebbiana (bebb's willow),1
Optimized ImageNet-pretrained ResNet50,468,Ulmus americana (American elm),Ulmaceae,Ulmus,10,5,0.5,472,Phoradendron californicum (desert mistletoe),1
Optimized ImageNet-pretrained ResNet50,479,Ribes uva-crispa (Goose-berry),Grossulariaceae,Ribes,10,5,0.5,378,Viburnum acerifolium (mapleleaf viburnum),1
Optimized ImageNet-pretrained ResNet50,77,Icaricia icarioides (Boisduval's Blue),Lycaenidae,Icaricia,10,6,0.6,76,Cyaniris semiargus (Mazarine Blue),3
Optimized ImageNet-pretrained ResNet50,217,Phalacrocorax penicillatus (Brandt's Cormorant),Phalacrocoracidae,Phalacrocorax,10,6,0.6,216,Phalacrocorax pelagicus (Pelagic Cormorant),3
Optimized ImageNet-pretrained ResNet50,414,Salvia columbariae (chia),Lamiaceae,Salvia,10,6,0.6,343,Jasione montana (Sheep's-bit),3
Optimized ImageNet-pretrained ResNet50,67,Lerodea eufala (Eufala Skipper),Hesperiidae,Lerodea,10,6,0.6,68,Lon melane (Umber Skipper),2
Optimized ImageNet-pretrained ResNet50,147,Pernis apivorus (European Honey-buzzard),Accipitridae,Pernis,10,6,0.6,146,Aquila heliaca (Imperial Eagle),2
Optimized ImageNet-pretrained ResNet50,151,Mergellus albellus (Smew),Anatidae,Mergellus,10,6,0.6,160,Chroicocephalus hartlaubii (Hartlaub's Gull),2
Optimized ImageNet-pretrained ResNet50,153,Archilochus alexandri (Black-chinned Hummingbird),Trochilidae,Archilochus,10,6,0.6,154,Heliodoxa jacula (Green-crowned Brilliant),2
Optimized ImageNet-pretrained ResNet50,208,Zosterops japonicus (Warbling White-eye),Zosteropidae,Zosterops,10,6,0.6,209,Zosterops palpebrosus (Indian White-eye),2
Optimized ImageNet-pretrained ResNet50,335,Polymnia canadensis (leafcup),Asteraceae,Polymnia,10,6,0.6,459,Morus indica (Korean mulberry),2
Optimized ImageNet-pretrained ResNet50,394,Acacia longifolia (longleaf wattle),Fabaceae,Acacia,10,6,0.6,404,Morella californica (California Wax Myrtle),2
