class_a,class_b,species_a,species_b,a_to_b,b_to_a,total_confusions
293,392,Neottia nidus-avis,Androsace septentrionalis,6,0,6
349,464,Cardamine impatiens,Prunus pumila,0,6,6
324,349,Erigeron sumatrensis,Cardamine impatiens,5,0,5
341,438,Tithonia tubaeformis,Hypericum perforatum,5,0,5
377,408,Symphoricarpos occidentalis,Coprosma grandifolia,5,0,5
399,438,Thermopsis californica,Hypericum perforatum,5,0,5
392,444,Androsace septentrionalis,Malva assurgentiflora,2,3,5
111,114,Epiblema otiosana,Chrysopa oculata,0,5,5
276,419,Thuidium delicatulum,Castilleja purpurea,0,5,5
349,366,Cardamine impatiens,Fallopia cilinodis,0,5,5
349,388,Cardamine impatiens,Vaccinium membranaceum,0,5,5
3,65,Phidippus johnsoni,Erynnis juvenalis,4,0,4
7,349,Agrilus planipennis,Cardamine impatiens,4,0,4
33,65,Andrena cineraria,Erynnis juvenalis,4,0,4
164,349,Numenius madagascariensis,Cardamine impatiens,4,0,4
211,349,Nycticorax nycticorax,Cardamine impatiens,4,0,4
260,438,Tonicella lineata,Hypericum perforatum,4,0,4
276,349,Thuidium delicatulum,Cardamine impatiens,4,0,4
289,438,Crocus vernus,Hypericum perforatum,4,0,4
291,438,Dactylorhiza fuchsii,Hypericum perforatum,4,0,4
294,349,Ophrys insectifera,Cardamine impatiens,4,0,4
300,438,Lilium pardalinum,Hypericum perforatum,4,0,4
309,349,Stenotaphrum secundatum,Cardamine impatiens,4,0,4
313,349,Torilis japonica,Cardamine impatiens,4,0,4
317,349,Ilex opaca,Cardamine impatiens,4,0,4
331,438,Melanthera nivea,Hypericum perforatum,4,0,4
334,438,Packera tampicana,Hypericum perforatum,4,0,4
335,349,Polymnia canadensis,Cardamine impatiens,4,0,4
381,392,Calluna vulgaris,Androsace septentrionalis,4,0,4
383,408,Dracophyllum longifolium,Coprosma grandifolia,4,0,4
