method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
ImageNet-pretrained ConvNeXt-Tiny with MixUp,469,Ulmus pumila (Siberian elm),Ulmaceae,Ulmus,10,2,0.2,468,Ulmus americana (American elm),2
ImageNet-pretrained ConvNeXt-Tiny with MixUp,362,Montia parvifolia (Small-leaved Blinks),Montiaceae,Montia,10,2,0.2,370,Pterostegia drymarioides (woodland pterostegia),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,68,Lon melane (Umber Skipper),Hesperiidae,Lon,10,3,0.3,69,Polites mystic (Long Dash Skipper),2
ImageNet-pretrained ConvNeXt-Tiny with MixUp,187,Poecile rufescens (Chestnut-backed Chickadee),Paridae,Poecile,10,3,0.3,348,Cardamine hirsuta (hairy bittercress),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,312,Chaerophyllum aromaticum (Broad-leaved Chervil),Apiaceae,Chaerophyllum,10,3,0.3,306,Paspalum dilatatum (Dallis grass),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,317,Ilex opaca (American holly),Aquifoliaceae,Ilex,10,3,0.3,303,Smilax glauca (sawbrier),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,459,Morus indica (Korean mulberry),Moraceae,Morus,10,3,0.3,470,Laportea canadensis (Canadian wood nettle),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,489,Taxodium mucronatum (Montezuma cypress),Cupressaceae,Taxodium,10,3,0.3,469,Ulmus pumila (Siberian elm),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,247,Crotalus oreganus (Western Rattlesnake),Viperidae,Crotalus,10,4,0.4,248,Sistrurus catenatus (Massasauga),3
ImageNet-pretrained ConvNeXt-Tiny with MixUp,402,Quercus michauxii (swamp chestnut oak),Fagaceae,Quercus,10,4,0.4,433,Magnolia tripetala (umbrella magnolia),2
ImageNet-pretrained ConvNeXt-Tiny with MixUp,466,Rubus bifrons (Himalayan-berry),Rosaceae,Rubus,10,4,0.4,470,Laportea canadensis (Canadian wood nettle),2
ImageNet-pretrained ConvNeXt-Tiny with MixUp,307,Poa annua (Annual Meadow-grass),Poaceae,Poa,10,4,0.4,339,Sonchus asper (prickly sowthistle),1
ImageNet-pretrained ConvNeXt-Tiny with MixUp,398,Robinia pseudoacacia (black locust),Fabaceae,Robinia,10,4,0.4,469,Ulmus pumila (Siberian elm),1
