method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
Validation-selected ResNet50/ConvNeXt ensemble,209,208,4,Zosterops palpebrosus (Indian White-eye),Zosterops japonicus (Warbling White-eye),1,1,Zosteropidae,Zosteropidae,val/04352_Animalia_Chordata_Aves_Passeriformes_Zosteropidae_Zosterops_palpebrosus/7ec5632d-497f-474b-bf51-fc8a1c58c82e.jpg
Validation-selected ResNet50/ConvNeXt ensemble,77,76,3,Icaricia icarioides (Boisduval's Blue),Cyaniris semiargus (Mazarine Blue),0,1,Lycaenidae,Lycaenidae,val/01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides/618648e3-2e4d-4078-ae97-4ead69ebb532.jpg
Validation-selected ResNet50/ConvNeXt ensemble,160,162,3,Chroicocephalus hartlaubii (Hartlaub's Gull),Larus cachinnans (Caspian Gull),0,1,Laridae,Laridae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/54467c3b-2eb8-44e8-888c-fcea9024c37b.jpg
Validation-selected ResNet50/ConvNeXt ensemble,199,186,3,Sitta pusilla (Brown-headed Nuthatch),Poecile hudsonicus (Boreal Chickadee),0,0,Sittidae,Paridae,val/04189_Animalia_Chordata_Aves_Passeriformes_Sittidae_Sitta_pusilla/f3454eff-ce20-4637-9114-d52fe3b0078c.jpg
Validation-selected ResNet50/ConvNeXt ensemble,217,216,3,Phalacrocorax penicillatus (Brandt's Cormorant),Phalacrocorax pelagicus (Pelagic Cormorant),1,1,Phalacrocoracidae,Phalacrocoracidae,val/04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus/560068d1-fd87-4d2a-b047-675bf7839987.jpg
Validation-selected ResNet50/ConvNeXt ensemble,234,235,3,Caiman crocodilus (Common Caiman),Crocodylus moreletii (Belize Crocodile),0,0,Alligatoridae,Crocodylidae,val/04860_Animalia_Chordata_Reptilia_Crocodylia_Alligatoridae_Caiman_crocodilus/6621fd9a-c156-4e95-a28c-fcd258075938.jpg
Validation-selected ResNet50/ConvNeXt ensemble,241,236,3,Zamenis longissimus (Aesculapian Snake),Anguis veronensis (Italian Slow Worm),0,0,Colubridae,Anguidae,val/04977_Animalia_Chordata_Reptilia_Squamata_Colubridae_Zamenis_longissimus/6910ea2c-e532-48ba-9ab5-aae959ae1c1b.jpg
Validation-selected ResNet50/ConvNeXt ensemble,245,241,3,Pseudaspis cana (Mole Snake),Zamenis longissimus (Aesculapian Snake),0,0,Lamprophiidae,Colubridae,val/05028_Animalia_Chordata_Reptilia_Squamata_Lamprophiidae_Pseudaspis_cana/ea87069e-a197-45cf-8ccd-04b7152abc76.jpg
Validation-selected ResNet50/ConvNeXt ensemble,345,346,3,Myosotis latifolia (broadleaf forget-me-not),Myosotis scorpioides (water forget-me-not),1,1,Boraginaceae,Boraginaceae,val/07172_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Myosotis_latifolia/4d23a0c0-5d2a-4c1d-a9a8-642f35361016.jpg
Validation-selected ResNet50/ConvNeXt ensemble,380,474,3,Arctostaphylos glauca (Big Berry Manzanita),Bursera microphylla (elephant tree),0,0,Ericaceae,Burseraceae,val/07709_Plantae_Tracheophyta_Magnoliopsida_Ericales_Ericaceae_Arctostaphylos_glauca/260d9dd9-25eb-4c00-a968-37687f3feed6.jpg
Validation-selected ResNet50/ConvNeXt ensemble,407,463,3,Coprosma dumosa,Prunus fasciculata (desert almond),0,0,Rubiaceae,Rosaceae,val/08325_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Rubiaceae_Coprosma_dumosa/023a4fd2-2960-4149-9e77-5aa06289aabd.jpg
Validation-selected ResNet50/ConvNeXt ensemble,414,343,3,Salvia columbariae (chia),Jasione montana (Sheep's-bit),0,0,Lamiaceae,Campanulaceae,val/08486_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_columbariae/bf9d2ae0-0e5b-48ea-8f1d-b3b13bd416f5.jpg
Validation-selected ResNet50/ConvNeXt ensemble,5,6,2,Hemiscolopendra marginata (Eastern Bark Centipede),Scolopendra heros (Giant Desert Centipede),0,1,Scolopendridae,Scolopendridae,val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/b76aa04d-4e5c-441a-ae9a-29860df80cba.jpg
Validation-selected ResNet50/ConvNeXt ensemble,40,39,2,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Augochlora pura (Pure Green Sweat Bee),0,1,Halictidae,Halictidae,val/00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica/9f8985f9-5df9-4687-9907-70a9ec7deb87.jpg
Validation-selected ResNet50/ConvNeXt ensemble,68,69,2,Lon melane (Umber Skipper),Polites mystic (Long Dash Skipper),0,1,Hesperiidae,Hesperiidae,val/01378_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lon_melane/de3b4755-fb74-4bee-b430-3121d6d5b714.jpg
Validation-selected ResNet50/ConvNeXt ensemble,117,118,2,Enallagma cyathigerum (Common Blue Damselfly),Enallagma geminatum (Skimming Bluet),1,1,Coenagrionidae,Coenagrionidae,val/02369_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_cyathigerum/a80b02cd-0102-4d78-b07b-fa4dbe850b21.jpg
Validation-selected ResNet50/ConvNeXt ensemble,139,138,2,Plotosus lineatus (Striped Eel Catfish),Paralabrax clathratus (Kelp Bass),0,0,Plotosidae,Serranidae,val/02914_Animalia_Chordata_Actinopterygii_Siluriformes_Plotosidae_Plotosus_lineatus/c91937ab-a86b-4236-902c-2ef0e53b5c4d.jpg
Validation-selected ResNet50/ConvNeXt ensemble,146,147,2,Aquila heliaca (Imperial Eagle),Pernis apivorus (European Honey-buzzard),0,1,Accipitridae,Accipitridae,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/985fb2a1-08be-45ad-a101-0be5ff4f8848.jpg
Validation-selected ResNet50/ConvNeXt ensemble,160,163,2,Chroicocephalus hartlaubii (Hartlaub's Gull),Larus glaucescens (Glaucous-winged Gull),0,1,Laridae,Laridae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/71bfecc9-fa2f-491e-b68c-6415d69d72d4.jpg
Validation-selected ResNet50/ConvNeXt ensemble,161,163,2,Chroicocephalus ridibundus (Black-headed Gull),Larus glaucescens (Glaucous-winged Gull),0,1,Laridae,Laridae,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/65bad439-1763-46d8-9b27-3245f81653b0.jpg
Validation-selected ResNet50/ConvNeXt ensemble,162,163,2,Larus cachinnans (Caspian Gull),Larus glaucescens (Glaucous-winged Gull),1,1,Laridae,Laridae,val/03410_Animalia_Chordata_Aves_Charadriiformes_Laridae_Larus_cachinnans/541fb741-8130-4ac2-b869-c3eb0be1db96.jpg
