class_index,category_id,species_name,common_name,family,genus,precision,recall,f1,support,class_accuracy
0,9,Araneus diadematus,Cross Orbweaver,Araneidae,Araneus,0.0,0.0,0.0,10,0.0
1,45,Trichonephila clavipes,Golden Silk Spider,Araneidae,Trichonephila,0.0,0.0,0.0,10,0.0
2,70,Dolomedes triton,Six-spotted Fishing Spider,Pisauridae,Dolomedes,0.125,0.1,0.1111111111111111,10,0.1
3,94,Phidippus johnsoni,Johnson's Jumping Spider,Salticidae,Phidippus,0.0,0.0,0.0,10,0.0
4,152,Paravaejovis puritanus,Paravaejovis puritanus,Vaejovidae,Paravaejovis,0.06666666666666667,0.1,0.08,10,0.1
5,157,Hemiscolopendra marginata,Eastern Bark Centipede,Scolopendridae,Hemiscolopendra,0.0,0.0,0.0,10,0.0
6,159,Scolopendra heros,Giant Desert Centipede,Scolopendridae,Scolopendra,0.0,0.0,0.0,10,0.0
7,184,Agrilus planipennis,Emerald Ash Borer,Buprestidae,Agrilus,0.0,0.0,0.0,10,0.0
8,193,Chauliognathus pensylvanicus,Goldenrod Soldier Beetle,Cantharidae,Chauliognathus,0.0,0.0,0.0,10,0.0
9,251,Rutpela maculata,Spotted Longhorn,Cerambycidae,Rutpela,0.0,0.0,0.0,10,0.0
10,260,Trichocnemis spiculatus,Spined Woodborer,Cerambycidae,Trichocnemis,0.0,0.0,0.0,10,0.0
11,290,Leptinotarsa juncta,False Potato Beetle,Chrysomelidae,Leptinotarsa,0.0,0.0,0.0,10,0.0
12,326,Henosepilachna vigintioctopunctata,Hadda Beetle,Coccinellidae,Henosepilachna,0.0,0.0,0.0,10,0.0
13,332,Psyllobora vigintiduopunctata,22-spot Ladybird Beetle,Coccinellidae,Psyllobora,0.0,0.0,0.0,10,0.0
14,351,Anoplotrupes stercorosus,Woodland Dor Beetle,Geotrupidae,Anoplotrupes,0.0,0.0,0.0,10,0.0
15,370,Oedemera femorata,Oedemera femorata,Oedemeridae,Oedemera,0.1,0.1,0.1,10,0.1
16,384,Euphoria kernii,Kern's Flower Scarab,Scarabaeidae,Euphoria,0.0,0.0,0.0,10,0.0
