method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
Optimized ImageNet-pretrained ResNet50,245,241,5,Pseudaspis cana (Mole Snake),Zamenis longissimus (Aesculapian Snake),0,0,Lamprophiidae,Colubridae,val/05028_Animalia_Chordata_Reptilia_Squamata_Lamprophiidae_Pseudaspis_cana/ea87069e-a197-45cf-8ccd-04b7152abc76.jpg
Optimized ImageNet-pretrained ResNet50,345,346,4,Myosotis latifolia (broadleaf forget-me-not),Myosotis scorpioides (water forget-me-not),1,1,Boraginaceae,Boraginaceae,val/07172_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Myosotis_latifolia/4d23a0c0-5d2a-4c1d-a9a8-642f35361016.jpg
Optimized ImageNet-pretrained ResNet50,489,488,4,Taxodium mucronatum (Montezuma cypress),Taxodium distichum (baldcypress),1,1,Cupressaceae,Cupressaceae,val/09794_Plantae_Tracheophyta_Pinopsida_Pinales_Cupressaceae_Taxodium_mucronatum/51cdc301-2e5e-4326-8064-33ebfb82fba7.jpg
Optimized ImageNet-pretrained ResNet50,77,76,3,Icaricia icarioides (Boisduval's Blue),Cyaniris semiargus (Mazarine Blue),0,1,Lycaenidae,Lycaenidae,val/01485_Animalia_Arthropoda_Insecta_Lepidoptera_Lycaenidae_Icaricia_icarioides/618648e3-2e4d-4078-ae97-4ead69ebb532.jpg
Optimized ImageNet-pretrained ResNet50,160,161,3,Chroicocephalus hartlaubii (Hartlaub's Gull),Chroicocephalus ridibundus (Black-headed Gull),1,1,Laridae,Laridae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/71bfecc9-fa2f-491e-b68c-6415d69d72d4.jpg
Optimized ImageNet-pretrained ResNet50,161,160,3,Chroicocephalus ridibundus (Black-headed Gull),Chroicocephalus hartlaubii (Hartlaub's Gull),1,1,Laridae,Laridae,val/03402_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_ridibundus/185f5d68-7b6e-4f76-9f76-1e975891079d.jpg
Optimized ImageNet-pretrained ResNet50,204,203,3,Contopus sordidulus (Western Wood-Pewee),Contopus cooperi (Olive-sided Flycatcher),1,1,Tyrannidae,Tyrannidae,val/04295_Animalia_Chordata_Aves_Passeriformes_Tyrannidae_Contopus_sordidulus/a858a46a-3fd7-41fe-b301-5baf7a289abb.jpg
Optimized ImageNet-pretrained ResNet50,217,216,3,Phalacrocorax penicillatus (Brandt's Cormorant),Phalacrocorax pelagicus (Pelagic Cormorant),1,1,Phalacrocoracidae,Phalacrocoracidae,val/04579_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_penicillatus/560068d1-fd87-4d2a-b047-675bf7839987.jpg
Optimized ImageNet-pretrained ResNet50,234,235,3,Caiman crocodilus (Common Caiman),Crocodylus moreletii (Belize Crocodile),0,0,Alligatoridae,Crocodylidae,val/04860_Animalia_Chordata_Reptilia_Crocodylia_Alligatoridae_Caiman_crocodilus/6621fd9a-c156-4e95-a28c-fcd258075938.jpg
Optimized ImageNet-pretrained ResNet50,236,241,3,Anguis veronensis (Italian Slow Worm),Zamenis longissimus (Aesculapian Snake),0,0,Anguidae,Colubridae,val/04879_Animalia_Chordata_Reptilia_Squamata_Anguidae_Anguis_veronensis/6d22a134-b631-4113-9d15-1c2e70d40554.jpg
Optimized ImageNet-pretrained ResNet50,241,236,3,Zamenis longissimus (Aesculapian Snake),Anguis veronensis (Italian Slow Worm),0,0,Colubridae,Anguidae,val/04977_Animalia_Chordata_Reptilia_Squamata_Colubridae_Zamenis_longissimus/6910ea2c-e532-48ba-9ab5-aae959ae1c1b.jpg
Optimized ImageNet-pretrained ResNet50,283,387,3,Asparagus acutifolius (Spiny Asparagus),Leptecophylla juniperina (Prickly mingimingi),0,0,Asparagaceae,Ericaceae,val/05878_Plantae_Tracheophyta_Liliopsida_Asparagales_Asparagaceae_Asparagus_acutifolius/cef05a1f-207d-49ab-9048-b2e2b1c38d18.jpg
Optimized ImageNet-pretrained ResNet50,407,463,3,Coprosma dumosa,Prunus fasciculata (desert almond),0,0,Rubiaceae,Rosaceae,val/08325_Plantae_Tracheophyta_Magnoliopsida_Gentianales_Rubiaceae_Coprosma_dumosa/db79806f-b76a-4881-968e-977bc38e2885.jpg
Optimized ImageNet-pretrained ResNet50,414,343,3,Salvia columbariae (chia),Jasione montana (Sheep's-bit),0,0,Lamiaceae,Campanulaceae,val/08486_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Lamiaceae_Salvia_columbariae/6bb27ccd-5e83-4437-9880-42c011bad9fe.jpg
Optimized ImageNet-pretrained ResNet50,425,426,3,Veronica americana (American brooklime),Veronica filiformis (Slender speedwell),1,1,Plantaginaceae,Plantaginaceae,val/08687_Plantae_Tracheophyta_Magnoliopsida_Lamiales_Plantaginaceae_Veronica_americana/9a8d34ca-fec2-4eab-807e-25eb87909de3.jpg
Optimized ImageNet-pretrained ResNet50,440,439,3,Salix cinerea (Grey Willow),Salix bebbiana (bebb's willow),1,1,Salicaceae,Salicaceae,val/08869_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Salicaceae_Salix_cinerea/b0f89bbe-08f9-442e-b2ca-e7bcb9fe3d12.jpg
Optimized ImageNet-pretrained ResNet50,469,468,3,Ulmus pumila (Siberian elm),Ulmus americana (American elm),1,1,Ulmaceae,Ulmaceae,val/09505_Plantae_Tracheophyta_Magnoliopsida_Rosales_Ulmaceae_Ulmus_pumila/cfbfcc13-df37-4151-8d40-4619be8e5c17.jpg
Optimized ImageNet-pretrained ResNet50,492,491,3,Pinus ponderosa (ponderosa pine),Pinus contorta (lodgepole pine),1,1,Pinaceae,Pinaceae,val/09833_Plantae_Tracheophyta_Pinopsida_Pinales_Pinaceae_Pinus_ponderosa/1566cb31-6f0c-4f37-90ee-e7ac37f6f094.jpg
Optimized ImageNet-pretrained ResNet50,5,6,2,Hemiscolopendra marginata (Eastern Bark Centipede),Scolopendra heros (Giant Desert Centipede),0,1,Scolopendridae,Scolopendridae,val/00157_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Hemiscolopendra_marginata/4091a551-6ad8-4cea-bc03-4195c592de62.jpg
Optimized ImageNet-pretrained ResNet50,6,5,2,Scolopendra heros (Giant Desert Centipede),Hemiscolopendra marginata (Eastern Bark Centipede),0,1,Scolopendridae,Scolopendridae,val/00159_Animalia_Arthropoda_Chilopoda_Scolopendromorpha_Scolopendridae_Scolopendra_heros/79af4b22-f7c8-431f-97ba-e8d48075286d.jpg
Optimized ImageNet-pretrained ResNet50,9,8,2,Rutpela maculata (Spotted Longhorn),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Cerambycidae,Cantharidae,val/00251_Animalia_Arthropoda_Insecta_Coleoptera_Cerambycidae_Rutpela_maculata/9004fce0-d775-4ee6-adb4-20284cbd4bca.jpg
Optimized ImageNet-pretrained ResNet50,38,37,2,Camponotus novaeboracensis (New York Carpenter Ant),Camponotus floridanus (Florida Carpenter Ant),1,1,Formicidae,Formicidae,val/00747_Animalia_Arthropoda_Insecta_Hymenoptera_Formicidae_Camponotus_novaeboracensis/12bd77ad-91fe-41af-8e4c-002af20fcfa1.jpg
Optimized ImageNet-pretrained ResNet50,40,39,2,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Augochlora pura (Pure Green Sweat Bee),0,1,Halictidae,Halictidae,val/00775_Animalia_Arthropoda_Insecta_Hymenoptera_Halictidae_Augochloropsis_metallica/9f8985f9-5df9-4687-9907-70a9ec7deb87.jpg
Optimized ImageNet-pretrained ResNet50,51,102,2,Catocala ilia (Ilia Underwing),Hemileuca maia (Buck Moth),0,0,Erebidae,Saturniidae,val/00998_Animalia_Arthropoda_Insecta_Lepidoptera_Erebidae_Catocala_ilia/2945b3a0-7b2d-49fc-b35d-28b316014579.jpg
Optimized ImageNet-pretrained ResNet50,67,68,2,Lerodea eufala (Eufala Skipper),Lon melane (Umber Skipper),0,1,Hesperiidae,Hesperiidae,val/01376_Animalia_Arthropoda_Insecta_Lepidoptera_Hesperiidae_Lerodea_eufala/b0cfc791-ec6a-4bfa-86a0-c146d7697410.jpg
Optimized ImageNet-pretrained ResNet50,118,117,2,Enallagma geminatum (Skimming Bluet),Enallagma cyathigerum (Common Blue Damselfly),1,1,Coenagrionidae,Coenagrionidae,val/02375_Animalia_Arthropoda_Insecta_Odonata_Coenagrionidae_Enallagma_geminatum/334b250d-00f5-47c0-a4e6-25826c16bac5.jpg
Optimized ImageNet-pretrained ResNet50,120,119,2,Hagenius brevistylus (Dragonhunter),Erpetogomphus designatus (Eastern Ringtail),0,1,Gomphidae,Gomphidae,val/02432_Animalia_Arthropoda_Insecta_Odonata_Gomphidae_Hagenius_brevistylus/ca3226bf-5339-460f-868f-a727a6242a6c.jpg
Optimized ImageNet-pretrained ResNet50,123,125,2,Pseudochorthippus curtipennis (Marsh meadow grasshopper),Conocephalus fuscus (Long-winged Conehead),0,0,Acrididae,Tettigoniidae,val/02628_Animalia_Arthropoda_Insecta_Orthoptera_Acrididae_Pseudochorthippus_curtipennis/888c51a0-e316-49e2-ac06-c58061be4fab.jpg
Optimized ImageNet-pretrained ResNet50,139,138,2,Plotosus lineatus (Striped Eel Catfish),Paralabrax clathratus (Kelp Bass),0,0,Plotosidae,Serranidae,val/02914_Animalia_Chordata_Actinopterygii_Siluriformes_Plotosidae_Plotosus_lineatus/c91937ab-a86b-4236-902c-2ef0e53b5c4d.jpg
Optimized ImageNet-pretrained ResNet50,146,147,2,Aquila heliaca (Imperial Eagle),Pernis apivorus (European Honey-buzzard),0,1,Accipitridae,Accipitridae,val/03120_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Aquila_heliaca/c540c2dd-42a8-44e8-aa68-61b5e3ab9ca4.jpg
