method,true_class_index,pred_class_index,count,true_species,pred_species,same_genus,same_family,true_family,pred_family,example_file
Simple CNN from scratch,341,8,8,Tithonia tubaeformis (tree marigold),Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),0,0,Asteraceae,Cantharidae,val/07047_Plantae_Tracheophyta_Magnoliopsida_Asterales_Asteraceae_Tithonia_tubaeformis/93de8571-34d5-451f-a5ee-3ff19628ab6f.jpg
Simple CNN from scratch,138,219,6,Paralabrax clathratus (Kelp Bass),Ginglymostoma cirratum (Nurse Shark),0,0,Serranidae,Ginglymostomatidae,val/02884_Animalia_Chordata_Actinopterygii_Perciformes_Serranidae_Paralabrax_clathratus/019357a4-cb49-42f6-80e6-c401ce60c50f.jpg
Simple CNN from scratch,160,217,6,Chroicocephalus hartlaubii (Hartlaub's Gull),Phalacrocorax penicillatus (Brandt's Cormorant),0,0,Laridae,Phalacrocoracidae,val/03398_Animalia_Chordata_Aves_Charadriiformes_Laridae_Chroicocephalus_hartlaubii/54467c3b-2eb8-44e8-888c-fcea9024c37b.jpg
Simple CNN from scratch,234,273,6,Caiman crocodilus (Common Caiman),Hericium americanum (Bear's Head Tooth),0,0,Alligatoridae,Hericiaceae,val/04860_Animalia_Chordata_Reptilia_Crocodylia_Alligatoridae_Caiman_crocodilus/d67de047-4638-4399-9f45-b894972ce9a6.jpg
Simple CNN from scratch,268,273,6,Roridomyces austrororidus,Hericium americanum (Bear's Head Tooth),0,0,Mycenaceae,Hericiaceae,val/05541_Fungi_Basidiomycota_Agaricomycetes_Agaricales_Mycenaceae_Roridomyces_austrororidus/fb8ef5b0-4ba9-42d8-9ab9-05c14e23ed5a.jpg
Simple CNN from scratch,276,361,6,Thuidium delicatulum (delicate fern moss),Stellaria graminea (lesser stitchwort),0,0,Thuidiaceae,Caryophyllaceae,val/05756_Plantae_Bryophyta_Bryopsida_Hypnales_Thuidiaceae_Thuidium_delicatulum/84606db8-3154-44d8-87bc-cfa00a7d8e11.jpg
Simple CNN from scratch,344,454,6,Echium plantagineum (Salvation Jane),Aquilegia vulgaris (common columbine),0,0,Boraginaceae,Ranunculaceae,val/07139_Plantae_Tracheophyta_Magnoliopsida_Boraginales_Boraginaceae_Echium_plantagineum/12824761-2cd0-46fb-89e4-8020b00af330.jpg
Simple CNN from scratch,360,454,6,Silene flos-cuculi (ragged-Robin),Aquilegia vulgaris (common columbine),0,0,Caryophyllaceae,Ranunculaceae,val/07451_Plantae_Tracheophyta_Magnoliopsida_Caryophyllales_Caryophyllaceae_Silene_flos-cuculi/3404e60e-8501-47d5-940b-e72ef87ac367.jpg
Simple CNN from scratch,440,361,6,Salix cinerea (Grey Willow),Stellaria graminea (lesser stitchwort),0,0,Salicaceae,Caryophyllaceae,val/08869_Plantae_Tracheophyta_Magnoliopsida_Malpighiales_Salicaceae_Salix_cinerea/d359919f-62a1-419a-972e-ef32f63252a3.jpg
Simple CNN from scratch,136,219,5,Abudefduf vaigiensis (Indo-Pacific Sergeant Major),Ginglymostoma cirratum (Nurse Shark),0,0,Pomacentridae,Ginglymostomatidae,val/02866_Animalia_Chordata_Actinopterygii_Perciformes_Pomacentridae_Abudefduf_vaigiensis/760088a4-cccb-4754-8628-9ff7f54d4a75.jpg
Simple CNN from scratch,147,146,5,Pernis apivorus (European Honey-buzzard),Aquila heliaca (Imperial Eagle),0,1,Accipitridae,Accipitridae,val/03177_Animalia_Chordata_Aves_Accipitriformes_Accipitridae_Pernis_apivorus/c3ce64e3-b261-442d-ae4c-31f4362dd2d5.jpg
Simple CNN from scratch,216,217,5,Phalacrocorax pelagicus (Pelagic Cormorant),Phalacrocorax penicillatus (Brandt's Cormorant),1,1,Phalacrocoracidae,Phalacrocoracidae,val/04578_Animalia_Chordata_Aves_Suliformes_Phalacrocoracidae_Phalacrocorax_pelagicus/82681475-1614-44a8-a221-d974d106935f.jpg
Simple CNN from scratch,225,217,5,Lynx canadensis (Canada Lynx),Phalacrocorax penicillatus (Brandt's Cormorant),0,0,Felidae,Phalacrocoracidae,val/04680_Animalia_Chordata_Mammalia_Carnivora_Felidae_Lynx_canadensis/ea9b16b9-4150-4e32-af8c-193a2cb1caf9.jpg
Simple CNN from scratch,239,274,5,Lampropeltis triangulum (Eastern Milksnake),Xylobolus frustulatus (ceramic parchment),0,0,Colubridae,Stereaceae,val/04925_Animalia_Chordata_Reptilia_Squamata_Colubridae_Lampropeltis_triangulum/49678d19-03e7-4970-bbb4-160cd9135e8a.jpg
