method,class_index,species,family,genus,test_images,correct,accuracy,most_common_wrong_class,most_common_wrong_species,most_common_wrong_count
Simple CNN from scratch,341,Tithonia tubaeformis (tree marigold),Asteraceae,Tithonia,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),8
Simple CNN from scratch,138,Paralabrax clathratus (Kelp Bass),Serranidae,Paralabrax,10,0,0.0,219,Ginglymostoma cirratum (Nurse Shark),6
Simple CNN from scratch,160,Chroicocephalus hartlaubii (Hartlaub's Gull),Laridae,Chroicocephalus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),6
Simple CNN from scratch,234,Caiman crocodilus (Common Caiman),Alligatoridae,Caiman,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),6
Simple CNN from scratch,276,Thuidium delicatulum (delicate fern moss),Thuidiaceae,Thuidium,10,0,0.0,361,Stellaria graminea (lesser stitchwort),6
Simple CNN from scratch,344,Echium plantagineum (Salvation Jane),Boraginaceae,Echium,10,0,0.0,454,Aquilegia vulgaris (common columbine),6
Simple CNN from scratch,360,Silene flos-cuculi (ragged-Robin),Caryophyllaceae,Silene,10,0,0.0,454,Aquilegia vulgaris (common columbine),6
Simple CNN from scratch,440,Salix cinerea (Grey Willow),Salicaceae,Salix,10,0,0.0,361,Stellaria graminea (lesser stitchwort),6
Simple CNN from scratch,147,Pernis apivorus (European Honey-buzzard),Accipitridae,Pernis,10,0,0.0,146,Aquila heliaca (Imperial Eagle),5
Simple CNN from scratch,216,Phalacrocorax pelagicus (Pelagic Cormorant),Phalacrocoracidae,Phalacrocorax,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),5
Simple CNN from scratch,225,Lynx canadensis (Canada Lynx),Felidae,Lynx,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),5
Simple CNN from scratch,239,Lampropeltis triangulum (Eastern Milksnake),Colubridae,Lampropeltis,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),5
Simple CNN from scratch,255,Phidiana hiltoni (Hilton's Aeolid),Facelinidae,Phidiana,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),5
Simple CNN from scratch,409,Ajuga genevensis (Blue Bugle),Lamiaceae,Ajuga,10,0,0.0,454,Aquilegia vulgaris (common columbine),5
Simple CNN from scratch,452,Adonis vernalis (Spring Adonis),Ranunculaceae,Adonis,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),5
Simple CNN from scratch,474,Bursera microphylla (elephant tree),Burseraceae,Bursera,10,0,0.0,279,Ephedra trifurca (longleaf ephedra),5
Simple CNN from scratch,12,Henosepilachna vigintioctopunctata (Hadda Beetle),Coccinellidae,Henosepilachna,10,0,0.0,66,Iambrix salsala (Chestnut Bob),4
Simple CNN from scratch,20,Copestylum mexicanum (Mexican Cactus Fly),Syrphidae,Copestylum,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),4
Simple CNN from scratch,39,Augochlora pura (Pure Green Sweat Bee),Halictidae,Augochlora,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),4
Simple CNN from scratch,40,Augochloropsis metallica (Metallic Epauletted-Sweat Bee),Halictidae,Augochloropsis,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),4
Simple CNN from scratch,45,Parapoynx diminutalis (Hydrilla Leafcutter Moth),Crambidae,Parapoynx,10,0,0.0,110,Cydia latiferreana (Filbertworm Moth),4
Simple CNN from scratch,47,Pyrausta volupialis (Volupial Pyrausta Moth),Crambidae,Pyrausta,10,0,0.0,110,Cydia latiferreana (Filbertworm Moth),4
Simple CNN from scratch,65,Erynnis juvenalis (Juvenal's Duskywing),Hesperiidae,Erynnis,10,0,0.0,247,Crotalus oreganus (Western Rattlesnake),4
Simple CNN from scratch,69,Polites mystic (Long Dash Skipper),Hesperiidae,Polites,10,0,0.0,39,Augochlora pura (Pure Green Sweat Bee),4
Simple CNN from scratch,73,Anthene emolus (Common Ciliate Blue),Lycaenidae,Anthene,10,0,0.0,66,Iambrix salsala (Chestnut Bob),4
Simple CNN from scratch,89,Euphydryas phaeton (Baltimore Checkerspot),Nymphalidae,Euphydryas,10,0,0.0,76,Cyaniris semiargus (Mazarine Blue),4
Simple CNN from scratch,92,Smyrna blomfildia (Blomfild's Beauty),Nymphalidae,Smyrna,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),4
Simple CNN from scratch,98,Moodna ostrinella (Darker Moodna Moth),Pyralidae,Moodna,10,0,0.0,46,Perispasta caeculalis (Titian Peale's Crambid),4
Simple CNN from scratch,116,Calopteryx maculata (Ebony Jewelwing),Calopterygidae,Calopteryx,10,0,0.0,66,Iambrix salsala (Chestnut Bob),4
Simple CNN from scratch,121,Lestes virens (Small Spreadwing),Lestidae,Lestes,10,0,0.0,118,Enallagma geminatum (Skimming Bluet),4
Simple CNN from scratch,163,Larus glaucescens (Glaucous-winged Gull),Laridae,Larus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),4
Simple CNN from scratch,172,Corvus ossifragus (Fish Crow),Corvidae,Corvus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),4
Simple CNN from scratch,194,Centronyx henslowii (Henslow's Sparrow),Passerellidae,Centronyx,10,0,0.0,76,Cyaniris semiargus (Mazarine Blue),4
Simple CNN from scratch,208,Zosterops japonicus (Warbling White-eye),Zosteropidae,Zosterops,10,0,0.0,76,Cyaniris semiargus (Mazarine Blue),4
Simple CNN from scratch,220,Oreotragus oreotragus (Klipspringer),Bovidae,Oreotragus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),4
Simple CNN from scratch,243,Micrurus tener (Texas Coralsnake),Elapidae,Micrurus,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),4
Simple CNN from scratch,260,Tonicella lineata (Lined Chiton),Tonicellidae,Tonicella,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),4
Simple CNN from scratch,263,Umbilicaria mammulata (Smooth Rock Tripe),Umbilicariaceae,Umbilicaria,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),4
Simple CNN from scratch,271,Phallus impudicus (stinkhorn),Phallaceae,Phallus,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),4
Simple CNN from scratch,289,Crocus vernus (Spring Crocus),Iridaceae,Crocus,10,0,0.0,363,Limonium perezii (Perez's sea lavender),4
Simple CNN from scratch,304,Carex digitata (Fingered Sedge),Cyperaceae,Carex,10,0,0.0,325,Eupatorium altissimum (tall boneset),4
Simple CNN from scratch,322,Cirsium texanum (Texas Thistle),Asteraceae,Cirsium,10,0,0.0,76,Cyaniris semiargus (Mazarine Blue),4
Simple CNN from scratch,336,Senecio glastifolius (Woad-leaved ragwort),Asteraceae,Senecio,10,0,0.0,426,Veronica filiformis (Slender speedwell),4
Simple CNN from scratch,393,Acacia confusa (Taiwan Acacia),Fabaceae,Acacia,10,0,0.0,361,Stellaria graminea (lesser stitchwort),4
Simple CNN from scratch,399,Thermopsis californica (California goldenbanner),Fabaceae,Thermopsis,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),4
Simple CNN from scratch,410,Ajuga reptans (carpet bugle),Lamiaceae,Ajuga,10,0,0.0,426,Veronica filiformis (Slender speedwell),4
Simple CNN from scratch,438,Hypericum perforatum (Klamath weed),Hypericaceae,Hypericum,10,0,0.0,321,Bidens aristosa (tickseed beggar-ticks),4
Simple CNN from scratch,453,Anemonastrum canadense (meadow anemone),Ranunculaceae,Anemonastrum,10,0,0.0,361,Stellaria graminea (lesser stitchwort),4
Simple CNN from scratch,478,Rhodiola integrifolia (western roseroot),Crassulaceae,Rhodiola,10,0,0.0,426,Veronica filiformis (Slender speedwell),4
Simple CNN from scratch,497,Dennstaedtia punctilobula (hay-scented fern),Dennstaedtiaceae,Dennstaedtia,10,0,0.0,499,Phegopteris hexagonoptera (broad beech fern),4
Simple CNN from scratch,0,Araneus diadematus (Cross Orbweaver),Araneidae,Araneus,10,0,0.0,48,Urola nivalis (Snowy Urola Moth),3
Simple CNN from scratch,5,Hemiscolopendra marginata (Eastern Bark Centipede),Scolopendridae,Hemiscolopendra,10,0,0.0,62,Tetracis crocallata (Yellow Slant-line),3
Simple CNN from scratch,14,Anoplotrupes stercorosus (Woodland Dor Beetle),Geotrupidae,Anoplotrupes,10,0,0.0,240,Tantilla gracilis (Flat-headed Snake),3
Simple CNN from scratch,16,Euphoria kernii (Kern's Flower Scarab),Scarabaeidae,Euphoria,10,0,0.0,8,Chauliognathus pensylvanicus (Goldenrod Soldier Beetle),3
Simple CNN from scratch,19,Exaireta spinigera (Garden soldier fly),Stratiomyidae,Exaireta,10,0,0.0,46,Perispasta caeculalis (Titian Peale's Crambid),3
Simple CNN from scratch,43,Achyra rantalis (Garden Webworm Moth),Crambidae,Achyra,10,0,0.0,110,Cydia latiferreana (Filbertworm Moth),3
Simple CNN from scratch,49,Bulia deducta (Deduced Graphic),Erebidae,Bulia,10,0,0.0,156,Charadrius wilsonia (Wilson's Plover),3
Simple CNN from scratch,50,Catocala grynea (Woody Underwing),Erebidae,Catocala,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,51,Catocala ilia (Ilia Underwing),Erebidae,Catocala,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),3
Simple CNN from scratch,55,Chiasmia clathrata (Latticed Heath),Geometridae,Chiasmia,10,0,0.0,361,Stellaria graminea (lesser stitchwort),3
Simple CNN from scratch,56,Chlorochlamys chloroleucaria (Blackberry Looper),Geometridae,Chlorochlamys,10,0,0.0,221,Tragelaphus oryx (Eland),3
Simple CNN from scratch,58,Idaea aversata (Riband Wave),Geometridae,Idaea,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,60,Probole amicaria (Alien Probole Moth),Geometridae,Probole,10,0,0.0,110,Cydia latiferreana (Filbertworm Moth),3
Simple CNN from scratch,79,Satyrium titus (Coral Hairstreak),Lycaenidae,Satyrium,10,0,0.0,66,Iambrix salsala (Chestnut Bob),3
Simple CNN from scratch,83,Ponometia semiflava (Half-yellow Moth),Noctuidae,Ponometia,10,0,0.0,48,Urola nivalis (Snowy Urola Moth),3
Simple CNN from scratch,97,Pieris brassicae (Large White Butterfly),Pieridae,Pieris,10,0,0.0,76,Cyaniris semiargus (Mazarine Blue),3
Simple CNN from scratch,101,Anisota senatoria (Orange-tipped Oakworm Moth),Saturniidae,Anisota,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),3
Simple CNN from scratch,104,Saturnia pyri (Giant Peacock Moth),Saturniidae,Saturnia,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,108,Sphinx pinastri (Pine Hawk-Moth),Sphingidae,Sphinx,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),3
Simple CNN from scratch,109,Argyrotaenia velutinana (Red-banded Leafroller),Tortricidae,Argyrotaenia,10,0,0.0,110,Cydia latiferreana (Filbertworm Moth),3
Simple CNN from scratch,117,Enallagma cyathigerum (Common Blue Damselfly),Coenagrionidae,Enallagma,10,0,0.0,361,Stellaria graminea (lesser stitchwort),3
Simple CNN from scratch,122,Neurothemis taiwanensis,Libellulidae,Neurothemis,10,0,0.0,119,Erpetogomphus designatus (Eastern Ringtail),3
Simple CNN from scratch,126,Faxonius virilis (Virile Crayfish),Cambaridae,Faxonius,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,131,Lepomis auritus (Redbreast Sunfish),Centrarchidae,Lepomis,10,0,0.0,246,Plestiodon obsoletus (Great Plains Skink),3
Simple CNN from scratch,133,Eupetrichthys angustipes (Snakeskin Wrasse),Labridae,Eupetrichthys,10,0,0.0,219,Ginglymostoma cirratum (Nurse Shark),3
Simple CNN from scratch,139,Plotosus lineatus (Striped Eel Catfish),Plotosidae,Plotosus,10,0,0.0,219,Ginglymostoma cirratum (Nurse Shark),3
Simple CNN from scratch,143,Rana aurora (Northern Red-legged Frog),Ranidae,Rana,10,0,0.0,253,Californiconus californicus (California Cone),3
Simple CNN from scratch,144,Aneides aeneus (Green Salamander),Plethodontidae,Aneides,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,152,Mergus merganser (Common Merganser),Anatidae,Mergus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,157,Pluvialis dominica (American Golden-Plover),Charadriidae,Pluvialis,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,158,Vanellus coronatus (Crowned Lapwing),Charadriidae,Vanellus,10,0,0.0,279,Ephedra trifurca (longleaf ephedra),3
Simple CNN from scratch,161,Chroicocephalus ridibundus (Black-headed Gull),Laridae,Chroicocephalus,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,166,Patagioenas flavirostris (Red-billed Pigeon),Columbidae,Patagioenas,10,0,0.0,203,Contopus cooperi (Olive-sided Flycatcher),3
Simple CNN from scratch,171,Certhia americana (Brown Creeper),Certhiidae,Certhia,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,174,Pyrrhocorax graculus (Alpine Chough),Corvidae,Pyrrhocorax,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,183,Ptilotula penicillata (White-plumed Honeyeater),Meliphagidae,Ptilotula,10,0,0.0,203,Contopus cooperi (Olive-sided Flycatcher),3
Simple CNN from scratch,188,Setophaga cerulea (Cerulean Warbler),Parulidae,Setophaga,10,0,0.0,203,Contopus cooperi (Olive-sided Flycatcher),3
Simple CNN from scratch,224,Lycalopex culpaeus (Culpeo),Canidae,Lycalopex,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,245,Pseudaspis cana (Mole Snake),Lamprophiidae,Pseudaspis,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),3
Simple CNN from scratch,246,Plestiodon obsoletus (Great Plains Skink),Scincidae,Plestiodon,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,248,Sistrurus catenatus (Massasauga),Viperidae,Sistrurus,10,0,0.0,279,Ephedra trifurca (longleaf ephedra),3
Simple CNN from scratch,249,Actinia equina (Beadlet anemone),Actiniidae,Actinia,10,0,0.0,247,Crotalus oreganus (Western Rattlesnake),3
Simple CNN from scratch,252,Buccinum undatum (Common Whelk),Buccinidae,Buccinum,10,0,0.0,274,Xylobolus frustulatus (ceramic parchment),3
Simple CNN from scratch,254,Americoliva sayana (Lettered Olive),Olividae,Americoliva,10,0,0.0,273,Hericium americanum (Bear's Head Tooth),3
Simple CNN from scratch,280,Cocos nucifera (coconut palm),Arecaceae,Cocos,10,0,0.0,217,Phalacrocorax penicillatus (Brandt's Cormorant),3
Simple CNN from scratch,285,Camassia quamash (small camas),Asparagaceae,Camassia,10,0,0.0,454,Aquilegia vulgaris (common columbine),3
Simple CNN from scratch,295,Spathoglottis plicata (Philippine Ground Orchid),Orchidaceae,Spathoglottis,10,0,0.0,454,Aquilegia vulgaris (common columbine),3
Simple CNN from scratch,296,Spiranthes lacera (Slender Ladies' Tresses),Orchidaceae,Spiranthes,10,0,0.0,115,Libelloides coccajus (Owly Sulphur),3
Simple CNN from scratch,301,Trillium nivale (snow trillium),Melanthiaceae,Trillium,10,0,0.0,268,Roridomyces austrororidus,3
